key,value
loc_account_rank_01,Інквізиторська печатка (1)
loc_account_rank_01_desc,"У милосерді, ясність."
loc_achievements_01,Перші кроки
loc_achievements_01_desc,Ваша подорож починається. Свята Месселіна бачить ваші зусилля і задоволена ними.
loc_achievements_02,Мандрівник
loc_achievements_02_desc,Свята закликає вас. Йдіть за покликом серця до її пробачення.
loc_achievements_03,Шлях попереду
loc_achievements_03_desc,"Ви пройшли довгий шлях і зіткнулися з багатьма випробуваннями, але вони бліднуть у порівнянні з тим, що витерпів наш славетний святий. Подвійно посилить свої зусилля і рухайтеся вперед в ім'я бога-Імператора."
loc_achievements_04,Визначений
loc_achievements_04_desc,"Твої вчинки показують твою справжню силу. У тобі горить праведний вогонь. Використовуй його, щоб очистити це місце від погані, яка загрожує його душі."
loc_achievements_05,Тягар каяття
loc_achievements_05_desc,"Ти був свідком багатьох жахіть на своєму шляху до спокути. Таке ярмо повинні нести всі, хто прагне насолодитися славою нашого дорогоцінного святого."
loc_achievements_06,Рішучий
loc_achievements_06_desc,"Гартуйся проти підступних дій архіворога. Ти на власні очі бачив розпусти та гниття, що виникають, коли душу жертвують пітьмі. Колись 6-ті були гордими. Найбільші герої Тертіуму, які тепер принижені фальшивими обіцянками та жадібністю."
loc_achievements_07,Вірний
loc_achievements_07_desc,Ти справді є дитиною святої. Її світло сяє через твої святі вчинки. Ми не повинні зупинятися у своїх зусиллях. Свята благословляє наші дії. Йди з праведним наміром. Твій ворог злякається перед твоєю силою.
loc_achievements_08,Славний!
loc_achievements_08_desc,"Святий, безсумнівно, буде ходити праворуч від тебе. Ці покаяння, які ти взяв на себе, будуть записані навіки. Проспівані для нащадків архівним хором і шановані, як і належить шанувати знання про всі святі вчинки."
loc_achievements_09,Викуплений
loc_achievements_09_desc,"Благословенна ти, дитино. Твоя віра й відданість сяють яскраво. Ти, безперечно, є прикладом для всіх, хто йде слідами святих. Ця війна, можливо, ще далека від завершення, але твоя подорож шляхом спокути завершена. Поки що.
А тепер займи своє місце як провідник, поширюючи слово святих та допомагаючи іншим іти її шляхом."
loc_achievements_10,Охоронець
loc_achievements_10_desc,"У тебе репутація людини, яка дбає про своїх."
loc_achievements_100,Нестримний
loc_achievements_100_desc,"Жодна, навіть наймогутніша перепона, не встоїть супроти тебе."
loc_achievements_101,Залізна воля
loc_achievements_101_desc,Твою рішучість не зламати.
loc_achievements_102,Око Бурі
loc_achievements_102_desc,"Ти зберігаєш ясний розум, коли всі навколо його втрачають."
loc_achievements_108,Холодний як лід
loc_achievements_108_desc,"Ти лишаєшся незворушним, навіть коли галактика палає."
loc_achievements_11,Безкорисливий захисник
loc_achievements_11_desc,"Команда на першому місці, місія — на другому. "
loc_achievements_110,На підході!
loc_achievements_110_desc,Крізь уламки та полум’я ти завжди знаходиш свою ціль.
loc_achievements_116,Спробуй як слід
loc_achievements_117,Чумовибухач
loc_achievements_118,Маючи буздиган
loc_achievements_119,Чим більші вони…
loc_achievements_121,Плазмовий анігілятор
loc_achievements_121_desc,"Їхня зброя могла й перегрітись, та ти швидко охолодив їхній запал."
loc_achievements_122,Гордість 53-го
loc_achievements_122_desc,Завдання виконано. Покарання відкинуто.
loc_achievements_123,Герой Пагуби Консори
loc_achievements_123_desc,"Фортецю звільнено, а культ вигнано."
loc_achievements_14,Зек
loc_achievements_14_desc,Ти вижив. Це вже щось.
loc_achievements_15,Гарматне м'ясо
loc_achievements_15_desc,Виконав місії та все ще дихаєш? Неймовірно.
loc_achievements_16,Можливо корисно
loc_achievements_16_desc,"Морроу припустив, що ти вже мертвий."
loc_achievements_17,Майже цінний
loc_achievements_17_desc,Можливо Зола і згадає твоє ім'я коли ти помреш
loc_achievements_18,Досі пушечне м'ясо
loc_achievements_18_desc,Не обманюй себе. Ти тут помреш.
loc_achievements_19,Забирач черепів
loc_achievements_19_desc,Деяким убивство дається легко.
loc_achievements_20,Збирач черепів
loc_achievements_20_desc,Єретики бояться твого імені.
loc_achievements_21,Адепт ауспексу
loc_achievements_21_desc,Тільки не забудь тримати його правильно.
loc_achievements_22,Слідчий адепт
loc_achievements_22_desc,Ти теж станеш збирачем даних... Одного дня.
loc_achievements_23,Мисливець за небезпекою
loc_achievements_23_desc,Ти не зважаєш на небезпеку.
loc_achievements_24,Зупинити гниття
loc_achievements_24_desc,"Якщо це може померти, ти це вб'єш."
loc_achievements_25,Молот зрадників
loc_achievements_25_desc,VI-ий Моебіанський виставив нагороду за твою голову.
loc_achievements_26,Невтомний
loc_achievements_26_desc,"Ти й гадки не маєш, що таке зупинитись."
loc_achievements_27,Шукач архієретиків
loc_achievements_27_desc,"Чим більші вони, тим глибше вдоволення."
loc_achievements_28,Пакунок Ґрокса
loc_achievements_28_desc,Взяти та принести? Якщо це все що потрібно.
loc_achievements_29,Імператорський
loc_achievements_29_desc,Командна робота — шлях до перемоги.
loc_achievements_30,Територіаліст
loc_achievements_30_desc,Єретики не віддадуть навіть сантиметра Тертіуму.
loc_achievements_31,Приносячи бум
loc_achievements_31_desc,Вибухівка і єретики чудово поєднуються.
loc_achievements_32,Ніхто не залишиться позаду
loc_achievements_32_desc,"На Атомі, і без того досить самотньо, щоб ще й залишати товаришів по команді."
loc_achievements_33,Готовий до дій
loc_achievements_33_desc,Оперативник завжди на службі.
loc_achievements_34,Викорінювач
loc_achievements_34_desc,"Жодного милосердя для ворога, що серед нас."
loc_achievements_35,Безжальний допитувач
loc_achievements_35_desc,Ваша ефективність була відзначена і високо оцінена.
loc_achievements_36,Адепт патрулю
loc_achievements_36_desc,Ви готові впоратися з будь-чим.
loc_achievements_37,Адепт натиску
loc_achievements_37_desc,"Немає місії, яку б ти не виконав."
loc_achievements_38,Адепт винищення
loc_achievements_38_desc,Морроу майже пишається. Хоча він ніколи цього не скаже.
loc_achievements_39,achievements_39
loc_achievements_39_desc,This is achievements_39
loc_achievements_40,achievements_40
loc_achievements_40_desc,This is achievements_40
loc_achievements_41,achievements_41
loc_achievements_41_desc,This is achievements_41
loc_achievements_42,Відомий теолог
loc_achievements_42_desc,Ваша відданість збиранню та збереженню святих скриптів привернула увагу Гестії. Вона висловлює вам подяку за вашу відданість.
loc_achievements_43,Похмура мета
loc_achievements_43_desc,Ці брудні фоліанти не повинні потрапити до рук ворога. Ваші зусилля з їх повернення зробили тертіум безпечнішим місцем. Відносно.
loc_achievements_44,achievements_44
loc_achievements_44_desc,This is achievements_44
loc_achievements_45,achievements_45
loc_achievements_45_desc,This is achievements_45
loc_achievements_46,achievements_46
loc_achievements_46_desc,This is achievements_46
loc_achievements_47,Головоріз
loc_achievements_47_desc,"Черепи для... Ні, зачекайте, для трофеїв. Так, це просто трофеї."
loc_achievements_48,achievements_48
loc_achievements_48_desc,This is achievements_48
loc_achievements_49,Сліпа справедливість
loc_achievements_49_desc,"У моєму суді не існує такого поняття, як невинність. Невинність є провиною у марнуванні мого часу.
- лорд-інквізитор Карамазов"
loc_achievements_50,achievements_50
loc_achievements_50_desc,This is achievements_50
loc_achievements_51,achievements_51
loc_achievements_51_desc,This is achievements_51
loc_achievements_52,achievements_52
loc_achievements_52_desc,This is achievements_52
loc_achievements_53,achievements_53
loc_achievements_53_desc,This is achievements_53
loc_achievements_54,achievements_54
loc_achievements_54_desc,This is achievements_54
loc_achievements_55,achievements_55
loc_achievements_55_desc,This is achievements_55
loc_achievements_56,achievements_56
loc_achievements_56_desc,This is achievements_56
loc_achievements_57,achievements_57
loc_achievements_57_desc,This is achievements_57
loc_achievements_58,achievements_58
loc_achievements_58_desc,This is achievements_58
loc_achievements_59,achievements_59
loc_achievements_59_desc,This is achievements_59
loc_achievements_60,achievements_60
loc_achievements_60_desc,This is achievements_60
loc_achievements_61,achievements_61
loc_achievements_61_desc,This is achievements_61
loc_achievements_62,achievements_62
loc_achievements_62_desc,This is achievements_62
loc_achievements_63,achievements_63
loc_achievements_63_desc,This is achievements_63
loc_achievements_64,achievements_64
loc_achievements_64_desc,This is achievements_64
loc_achievements_65,achievements_65
loc_achievements_65_desc,This is achievements_65
loc_achievements_66,achievements_66
loc_achievements_66_desc,This is achievements_66
loc_achievements_67,achievements_67
loc_achievements_67_desc,This is achievements_67
loc_achievements_68,Боротьба зі шкідниками
loc_achievements_68_desc,"З такими навичками поводження з собаками, можна було б влаштуватися на роботу в арбітром."
loc_achievements_69,achievements_69
loc_achievements_69_desc,This is achievements_69
loc_achievements_70,achievements_70
loc_achievements_70_desc,This is achievements_70
loc_achievements_71,achievements_71
loc_achievements_71_desc,This is achievements_71
loc_achievements_72,achievements_72
loc_achievements_72_desc,This is achievements_72
loc_achievements_73,achievements_73
loc_achievements_73_desc,This is achievements_73
loc_achievements_75,Чистий результат
loc_achievements_75_desc,"Чи то вміння ухилятися, чи то швидкі рефлекси, чи то розумне використання каменю, але твоя тактика, здається, працює."
loc_achievements_76,achievements_76
loc_achievements_76_desc,This is achievements_76
loc_achievements_77,achievements_77
loc_achievements_77_desc,This is achievements_77
loc_achievements_78,achievements_78
loc_achievements_78_desc,This is achievements_78
loc_achievements_83,Послідовність — чеснота
loc_achievements_83_desc,"Твоя відданість гідна похвали. Продовжуй, доки матимеш силу."
loc_achievements_86,Огидно живучий
loc_achievements_86_desc,"Скверна не змогла тебе спинити. Всі єретики зустрінуть суд твоєю рукою, якими б огидними чи викрученими вони не були."
loc_achievements_91,Приборкай гармати
loc_achievements_91_desc,"У них більше стволів, але не більше майстерності."
loc_achievements_92,Підсилений
loc_achievements_92_desc,"Тебе, схоже, зовсім не турбує, що сталося з 21-м. Бач, маєш надійне джерело."
loc_achievements_97,Знищити мутанта
loc_achievements_97_desc,Не дозволяй жодному з них жити.
loc_achievements_99,Снайпер
loc_achievements_99_desc,"Вони можуть переважати в дальності, та не сховаються від твого гніву."
loc_acid_dogs_armageddon_upperbody_a_var_01,Тактичний бронежилет
loc_acid_dogs_armageddon_upperbody_a_var_01_desc,Поєднання шкіри та бронежилету забезпечує захист та мобільність солдата під час руху.
loc_acid_dogs_genstealer_cults_01_b_var_02,Маска Аклис Мк Xf Іскроріз  
loc_acid_dogs_genstealer_cults_01_b_var_02_desc,"Відомий тим, що візор затуманюється, якщо лазерна зброя стріляє занадто близько. Сподіваюсь, що він був модернізований."
loc_acid_dogs_genstealer_cults_01_b_var_04,Маска Аклис Мк ІІb Іскроріз  
loc_acid_dogs_genstealer_cults_01_b_var_04_desc,"Прикрашений характерним камуфляжним візерунком у вигляді кислотних відходів, цей екземпляр, безсумнівно, бачив не одну битву."
loc_acid_dogs_genstealer_cults_01_b_var_05,Іскрорізна маска Акліс Мк Xv
loc_acid_dogs_genstealer_cults_01_b_var_06,Іскрорізна маска Акліс Мк Xb
loc_acid_dogs_genstealer_cults_01_b_var_07,Іскрорізна маска Акліс Мк Xd
loc_acid_dogs_imperial_guard_helmet_06_a_bionic_eye_g_var_01,Шолом Аклис Мк ІІb Циклоп
loc_acid_dogs_imperial_guard_helmet_06_a_bionic_eye_g_var_01_desc,"Ні, я не сумую за своїм оком. Нове набагато краще, навіть якщо воно іскриться під дощем.
Сержант Редд Врекхем (померлий)"
