key,value
loc_talent_adamant_crit_chance_on_kill,Ревна відданість
loc_talent_adamant_crit_chance_on_kill_desc,{crit_chance:%s} шанус критичного удару при вбивстві. {max_stacks:%s} накопичень. триває {duration:%s}с.
loc_talent_adamant_crits_rend,Покарання ударом
loc_talent_adamant_damage_vs_suppressed,"Тремтіть, виродки!"
loc_talent_adamant_damage_vs_suppressed_desc,{damage_vs_suppressed:%s} шкоди проти пригнічених ворогів.
loc_talent_adamant_shout_ability_description,"Збиває з рівноваги всіх ворогів у радіусі {range:%s}м, а також ворогів попереду в межах {far_range:%s}м. базова перезарядка: {cooldown:%s}с."
loc_ability_adamant_charge_blocking_desc,"Зробити ривок уперед і завдати удару, спричиняючи сильне збивання з рівноваги ворогам попереду, та отримання {damage:%s} шкоди, {stagger:%s} сили імпульсу на {duration:%s}с. під час удару гравець вважається таким, що блокує.

Базове перезарядження: {cooldown:%s}с."
loc_achievement_adamant_kill_cluster_with_grenade_desc,"Вбити {cluster:%s} ворогів одним використанням «Гранати Арбітра», {amount:%s} разів."
loc_achievement_adamant_time_enemies_electrocuted_by_shockmine_description,Оглушити ворогів за допомогою електрошокової міни на загальну тривалість {target} секунд.
loc_talent_ability_area_buff_drone,Нунцій-аквіла
loc_talent_ability_area_buff_drone_ct_description,"Розгорнути Нунціо-Аквілу у вказаному напрямку.

Союзники в радіусі {range:%s}м відновлюють {toughness:%s} щитів щосекунди, отримують {suppression:%s} до пригнічення та {impact:%s} сили імпульсу, а також мають імунітет до сповільнення, імунітет до пригнічення, {recoil:%s} віддачу та імунітет до переривання під час альтернативного вогню.

Вороги в радіусі {range:%s}м отримують на {damage_taken:%s} більше шкоди.

Триває {duration:%s}с. перезарядження: {cooldown:%s}с.

Це посилена версія {nuncio_name:%s}."
loc_talent_adamant_bullet_rain,Ордер на знищення
loc_talent_adamant_bullet_rain_ability,Указ правосуддя
loc_talent_adamant_bullet_rain_fire_rate,Нести правосуддя
loc_talent_adamant_bullet_rain_tdr,Упертий
loc_talent_adamant_bullet_rain_toughness,Кінцевий вердикт
loc_talent_adamant_charge_ability_name,Прорвати лінію
loc_talent_adamant_charge_cooldown_alt_description,"Відновити {cooldown:%s}с перезарядження здібності за кожне влучення, збільшується до {cooldown_elite:%s} при влученні по елітному, спеціальному або монструозному ворогу. Максимум відновлення: {max_cooldown:%s}."
loc_talent_adamant_charge_cooldown_name,Спрямована жорстокість
loc_talent_adamant_charge_longer_distance,Зіткнення
loc_talent_adamant_charge_longer_distance_desc,Дистанція {charge_ability_name:%s} збільшена до {distance:%s}м.
loc_talent_adamant_charge_toughness_alt_description,"Відновити {toughness:%s} щитів і {stamina:%s} витривалості за кожного влученого елітного, спеціального або монструозного ворога — до {toughness_max:%s} щитів і {stamina_max:%s} витривалості."
loc_talent_adamant_charge_toughness_name,Похвала через засудження
loc_talent_adamant_cleave_after_push,Відкинути їх назад
loc_talent_adamant_cleave_after_push_desc,Відштовхування надає {cleave:%s} розсічення на {duration:%s}с.
loc_talent_adamant_clip_size,Пріоритетне наділення
loc_talent_adamant_clip_size_alt_desc,{clip_size:%s} розмір магазину.
loc_talent_adamant_companion_coherency,Частина загону
loc_talent_adamant_companion_coherency_alt_desc,"Кібер-мастиф зараховується до єдності підрозділу. крім того, гравець і союзники в єдності отримують додаткове {tdr:%s} зменшення шкоди по щитах."
loc_talent_adamant_crits_rend_alt_desc,{rending:%s} до проникності при критичному ударі на відстані.
loc_talent_adamant_cyber_mastiff_elites,Вивільнена жорстокість
loc_talent_adamant_cyber_mastiff_elites_desc,Кібер-мастиф пріоритезує елітних і спеціальних ворогів та завдає їм {damage:%s} шкоди.
loc_talent_adamant_cyber_mastiff_ranged,Фас!
loc_talent_adamant_cyber_mastiff_ranged_desc,Кібер-мастиф пріоритезує дистанційних ворогів і завдає їм {damage:%s} шкоди.
loc_talent_adamant_damage_reduction_after_elite_kill,Вражаюча сила
loc_talent_adamant_damage_reduction_after_elite_kill_desc,Отримати {damage_reduction:%s} опору шкоді на {duration:%s}с після вбивства елітного чи спеціального ворога.
loc_talent_adamant_damage_vs_staggered_aura,Придушення непокори
loc_talent_adamant_damage_vs_staggered_aura_alt_desc,Гравець і союзники в єдності завдають додаткову {damage_vs_stagger:%s} шкоду по збиваних з рівноваги ворогах.
loc_talent_adamant_disable_companion,Самотній вовк
loc_talent_adamant_disable_companion_replenish_desc,"Гравець більше не супроводжується кібер-мастифом. натомість отримує {tdr:%s} зменшення шкоди по щитах, {attack_speed:%s} швидкості атаки, {damage:%s} шкоди, {charges:%s} збільшення зарядів бліц здібностей, а також відновлює один заряд здібності бліц кожні {time:%s}с."
loc_talent_adamant_dodge_grants_damage,Арбітес ревелатум
loc_talent_adamant_dodge_grants_damage_desc,{damage:%s} шкоди протягом {duration:%s}с після успішного ухилення.
loc_talent_adamant_dodge_improvement,Вулична кмітливість
loc_talent_adamant_dodge_improvement_desc,Отримати {dodge:%s} додаткових ухилень і {dodge_duration:%s} тривалість ухилення.
loc_talent_adamant_dog_applies_brittleness,Зазубрена пащека
loc_talent_adamant_dog_applies_brittleness_desc,Кібер-мастиф накладає {stacks:%s} стаків крихкості при атаці.
loc_talent_adamant_dog_damage_after_ability,Наказ на вбивство
loc_talent_adamant_dog_damage_after_ability_desc,{companion_damage:%s} нанесення шкоди для кібер-мастифа протягом {duration:%s}с після використання бойової здібності.
loc_talent_adamant_drone_buff_talent,Натхненне проголошення
loc_talent_adamant_drone_buff_talent_alt_desc,"Союзники які потрапили під дію також отримують {tdr:%s} зменшення шкоди по щитах, {revive_speed:%s} швидкість відродження та {attack_speed:%s} швидкості атаки."
loc_talent_adamant_drone_debuff_talent,Страх правосуддя
loc_talent_adamant_drone_debuff_talent_desc,"Інтервал між атаками уражених ворогів у ближньому бою  збільшується на {attack_speed_reduction:%s}, а їхні атаки у ближньому бою завдають на {damage_reduction:%s} менше шкоди."
loc_talent_adamant_elite_special_kills_reload_speed,Розсудлива ефективність
loc_talent_adamant_elite_special_kills_reload_speed_desc,{reload_speed:%s} до швидкості перезарядження при наступній перезарядці після вбивства елітного або спеціального ворога.
loc_talent_adamant_exterminator,Наказ на страту
loc_talent_adamant_exterminator_ability_cooldown,Визначник цілі
loc_talent_adamant_exterminator_stack_during_activation,Без поблажок
loc_talent_adamant_exterminator_toughness,Ефективний убивця
loc_talent_adamant_first_melee_hit_increased_damage,Кулак імператора
loc_talent_adamant_first_melee_hit_increased_damage_desc,"{damage:%s} до шкоди у ближньому бою та {impact:%s} сили імпульсу проти першого ворога, ураженого кожною атакою."
loc_talent_adamant_forceful_ability_damage,Під час активації бойової здібності надається {strength:%s} сила за кожен стак. триває {duration:%s}с. Усі стаки знімаються.
loc_talent_adamant_forceful_melee,Судова міць
loc_talent_adamant_forceful_melee_alt_desc,На максимальній кількості стаків і протягом {duration:%s}с після цього надаєтсья {attack_speed:%s} швидкості атаки та {cleave:%s} розсічення.
loc_talent_adamant_forceful_ranged,Цілі отримано
loc_talent_adamant_forceful_refresh_on_ability,Арбітес пильний
loc_talent_adamant_forceful_stagger_on_low_high_desc,Збиває з рівноваги навколишніх ворогів при досягненні {low_stacks:%s} або {high_stacks:%s} стаків. Перезарядження: {cooldown:%s}с (окремо для кожного випадку).
loc_talent_adamant_forceful_stamina_block_and_push_alt,Непохитна воля
loc_talent_adamant_forceful_stun_immune_and_block_all_linger_desc,"На максимальній кількості стаків і протягом {duration:%s}с після цього гравець отримує імунітет до оглушення, а досконалі блоки здатні зупиняти будь-які атаки."
loc_talent_adamant_forceful_toughness_regen,Воля закону
loc_talent_adamant_forceful_toughness_regen_per_stack_desc,Відновити {toughness:%s} щитів щосекунди за кожен стак.
loc_talent_adamant_heavy_attacks_increase_damage,Тягар закону
loc_talent_adamant_heavy_attacks_increase_damage_desc,Отримати {damage:%s} до шкоди на {duration:%s}с після важкої атаки у ближньому бою.
loc_talent_adamant_hitting_multiple_gives_tdr,Протоколи пригнічення
loc_talent_adamant_hitting_multiple_gives_tdr_desc,Влучення по {hits:%s} або кількох ворогах однією атакою надає {tdr:%s} зменшення шкоди по щитах на {duration:%s}с.
loc_talent_adamant_increased_damage_to_high_health,Пріоритет цілей
loc_talent_adamant_increased_damage_to_high_health_desc,{damage:%s} до шкоди ворогам із рівнем здоров’я вище {health:%s}.
loc_talent_adamant_melee_attacks_on_staggered_rend,Знищення
loc_talent_adamant_melee_attacks_on_staggered_rend_alt_desc,{rending:%s} до пробиття у ближньому бою проти збитих з рівноваги ворогів.
loc_talent_adamant_monster_hunter,Мисливець на монстрів
loc_talent_adamant_monster_hunter_desc,{damage:%s} до шкоди по оґринах і потворам.
loc_talent_adamant_movement_speed_on_block,Марш
loc_talent_adamant_movement_speed_on_block_alt_desc,{movement_speed:%s} швидкості руху після влучання на відстані. триває {duration:%s}с.
loc_talent_adamant_pinning_dog_bonus_moving_towards,Не відставай
loc_talent_adamant_pinning_dog_bonus_moving_towards_description,Отримати {movement_speed:%s} швидкості руху та {damage:%s} до шкоди на {time:%s}с після стрибка.
loc_talent_adamant_pinning_dog_elite_damage,Вибір цілі
loc_talent_adamant_pinning_dog_elite_damage_description,"Вбивство елітного чи спеціального ворога, на якого мастіф виконав стрибок надає {damage:%s} до шкоди проти елітних і спеціальних ворогів. Тривалість {time:%s}с."
loc_talent_adamant_pinning_dog_kills_buff_allies,Собача мораль
loc_talent_adamant_pinning_dog_kills_buff_allies_description,"Вбивство цілей, на яких мастіф виконав стрибок, надає союзникам у єдності {tdr:%s} до зменшення шкоди по щитах та відновлює {toughness:%s} щитів протягом {duration:%s}с."
loc_talent_adamant_plasteel_plates,Пласталеві пластини
loc_talent_adamant_plasteel_plates_desc,{toughness:%s} щитів.
loc_talent_adamant_ranged_damage_on_melee_stagger,Останнє попередження
loc_talent_adamant_ranged_damage_on_melee_stagger_desc,{damage:%s} до шкоди на відстані після збивання ворогів у ближньому бою. Тривалість {duration:%s}с.
loc_talent_adamant_rebreather,Респіратор
loc_talent_adamant_rebreather_desc,{corruption:%s} до опору погані та {toxic_reduction:%s} зменшення отриманої шкоди від токсичного газу.
loc_talent_adamant_reload_speed_aura_desc,Гравець і союзники в єдності отримують додатково {reload_speed:%s} швидкості перезарядки.
loc_talent_adamant_sprinting_sliding,Швидкий рух
loc_talent_adamant_sprinting_sliding_description,Ковзання збільшує швидкість бігу на {speed:%s} протягом {duration:%s}с. Вбивства відновлюють {stamina:%s} витривалості. Перезарядка: {cd:%s}с.
loc_talent_adamant_stacking_damage,Виправдані дії
loc_talent_adamant_stacking_damage_desc,{damage:%s} до шкоди після успішної атаки. Максимум {stacks:%s} стаків. Тривалість {duration:%s}с.
loc_talent_adamant_stacking_weakspot_strength,Сканування вини в душах
loc_talent_adamant_stacking_weakspot_strength_duration_desc,Влучання у слабке місце надає {strength:%s} сили проти слабких місць Максимум {max_stacks:%s} стаків. Тривалість {duration:%s}с.
loc_talent_adamant_staggered_enemies_deal_less_damage,Сила пригнічення
loc_talent_adamant_staggered_enemies_deal_less_damage_desc,Збивання ворога з рівноваги змушує його отримувати {damage:%s} шкоди. Триває {duration:%s}с.
loc_talent_adamant_staggered_enemies_take_more_damage,Вразити слабких
loc_talent_adamant_staggers_reduce_damage_taken,Тримай лінію
loc_talent_adamant_staggers_reduce_damage_taken_alt_desc,Збивання ворога з рівноваги надає {normal_stacks:%s} стак(ів) {damage_taken_multiplier:%s} до опору шкоді при наступному отриманому ударі у ближньому бою. Накопичується до {max_stacks:%s} разів і триває {duration:%s}с. Збивання ворогів не людського розміру надає {ogryn_stacks:%s} стак(ів).
loc_talent_adamant_stance_ability_alt_description,"Вхід у {talent_name:%s} на {duration:%s}с, під час якого гравець має {movement_speed:%s} швидкість руху, {damage_taken:%s} зменшення отримання шкоди, {movement_reduction:%s} зменшення штрафу до швидкості руху від дій, але не може бігти. Під час активації повністю відновлюються щити.

Базове перезарядження: {cooldown:%s}с."
loc_talent_adamant_stance_ability_name,Постава карателя
loc_talent_adamant_stance_bloodlust,Кровожерність
loc_talent_adamant_stance_bloodlust_desc,Під час {stance_name:%s} кібер-мастиф завдає {damage:%s} шкоди.
loc_talent_adamant_stance_elite_kills_stack_damage,Грамота страти
loc_talent_adamant_stance_elite_kills_stack_damage_desc,Під час {stance_name:%s} кожне вбивство елітного або спеціального ворога надає додаткові {damage:%s} до шкоди. Триває {duration:%s}с. Максимум {stacks:%s} стаків.
loc_talent_adamant_stance_ranged_kills_transfer_ammo,Благословене озброєння
