key,value
loc_circumstance_assault_description,"Більше набоїв, менше лікування, більше ворогів. Приготуйся бігти."
loc_circumstance_assault_title,Штурм
loc_circumstance_darkness_description,"Світла немає, бери ліхтар"
loc_circumstance_darkness_hunting_grounds_description,Наче каскадних відмов живлення було замало — в зоні висадки помічені пси.
loc_circumstance_darkness_hunting_grounds_title,Мисливські угіддя (знеструмлення)
loc_circumstance_darkness_less_resistance_description,"Звіти показують, що ворогів має бути менше. Вони ж використають темряву собі на користь."
loc_circumstance_darkness_less_resistance_title,Низькоінтенсивна бійня (знеструмлення)
loc_circumstance_darkness_more_resistance_description,Ми зафіксували високу концентрацію ворогів у зоні місії. Не розраховуй вчасно їх побачити.
loc_circumstance_darkness_more_resistance_title,Високоінтенсивна бійня (знеструмлення)
loc_circumstance_darkness_title,Знеструмлення
loc_circumstance_darkness_twins_solo_description,"Не лише віялові відключення накривають вулик — агенти Вирмвуду повідомляють про щось жахливе, що ховається у темряві."
loc_circumstance_darkness_twins_solo_title,Жах у темряві
loc_circumstance_dummy_less_resistance_description,Розвідка вказує на низьку концентрацію ворогів у зоні місії. Очікуй менше боїв високої інтенсивності та спеціалістів.
loc_circumstance_dummy_less_resistance_title,Зона бою низької інтенсивності
loc_circumstance_dummy_more_resistance_description,"Розвідка вказує на високу концентрацію ворогів у зоні місії, а також на більшу кількість спеціалістів. Очікуй бої вищої інтенсивності."
loc_circumstance_dummy_more_resistance_title,Зона бою високої інтенсивності
loc_circumstance_ember_description,Район місії у вогні. Зграї вогнеметників нишпорять довкола.
loc_circumstance_ember_title,Пекло
loc_circumstance_extra_chaos_hounds_description,Обставина: додаткові пси
loc_circumstance_extra_chaos_hounds_title,Обставина: додаткові пси
loc_circumstance_extra_snipers_description,Обставина: додаткові снайпери 
loc_circumstance_extra_snipers_title,Обставина: додаткові снайпери 
loc_circumstance_flash_mission_01_description,"Хвилі спеціалістів. Потворні спеціалісти (існує шанс, що спеціалісти перетворяться на слабших потвор)."
loc_circumstance_flash_mission_01_title,Місія Вихор I-II
loc_circumstance_flash_mission_02_description,"Хвилі спеціалістів. Благословення нурґла (вороги мають шанс отримати посилення, що зробить їх міцнішими)."
loc_circumstance_flash_mission_02_title,Місія Вихор I-E
loc_circumstance_flash_mission_03_description,Хвилі спеціалістів. Мисливські угіддя.
loc_circumstance_flash_mission_03_title,Місія Вихор І-III
loc_circumstance_flash_mission_04_description,"Мисливські угіддя. Благословення нурґла (вороги мають шанс отримати посилення, що робить їх міцнішими). У гравців на 20% знижено відновлення здібностей."
loc_circumstance_flash_mission_04_title,Місія Вихор I-E-F
loc_circumstance_flash_mission_05_description,"Світла немає. Хвилі спеціалістів. Потворні спеціалісти (існує шанс, що спеціалісти перетворяться на слабших потвор)."
loc_circumstance_flash_mission_05_title,Місія Вихор A-I-II
loc_circumstance_flash_mission_06_description,Очищення вентиляції. Хвилі спеціалістів. Снайпери.
loc_circumstance_flash_mission_06_title,Місія Вихор B-I-IV
loc_circumstance_flash_mission_07_description,Хвилі спеціалістів. Лише фракція скабів. Переважно ближній бій. Набоїв не буде.
loc_circumstance_flash_mission_07_title,Місія Вихор C-I-VI
loc_circumstance_flash_mission_08_description,Хвилі спеціалістів. Мисливські угіддя. Хвилі мутантів. У гравців на 20% знижено відновлення здібностей.
loc_circumstance_flash_mission_08_title,Місія Вихор I-III-VII-F
loc_circumstance_flash_mission_09_description,Очищення вентиляції. Переважно вороги з далекобійною атакою. Лише фракція скабів. У гравців на 20% знижено відновлення здібностей.
loc_circumstance_flash_mission_09_title,Місія Вихор B-VIII-V-F
loc_circumstance_flash_mission_10_description,"Хвилі спеціалізованих ворогів. Благословення Нурґла (вороги мають шанс отримати посилення, яке робить їх міцнішими). Монструозні спеціалісти (шанс, що спеціалісти стануть слабшими монстрами). Тільки фракція скабів. Посилений блітц"
loc_circumstance_flash_mission_10_title,Вихор I-II-V-E-G
loc_circumstance_flash_mission_11_description,Хвилі спеціалістів. Снайпери. Додаткові чумовибухачі. Додаткові вибухові бочки. Покращений бліц.
loc_circumstance_flash_mission_11_title,Місія Вихор D-I-IV-IX-G
loc_circumstance_flash_mission_12_description,Мисливські угіддя. Додаткові чумовибухачі. Хвилі мутантів. Покращений бліц. Додаткові вибухові бочки.
loc_circumstance_flash_mission_12_title,Місія Вихор D-III-VII-IX-G
loc_circumstance_flash_mission_13_description,"Хвилі мутантів. Благословення нурґла (вороги мають шанс отримати посилення, що робить їх міцнішими). Хвилі спеціалістів. У гравців на 20% знижено відновлення здібностей."
loc_circumstance_flash_mission_13_title,Місія Вихор I-IX-E-F
loc_circumstance_flash_mission_14_description,Гравці отримують ушкодження поганню з часом. Менше блукаючих ворогів. Без орд. Хвилі спеціалістів. У гравців на 20% знижено відновлення здібностей.
loc_circumstance_flash_mission_14_title,Місія Вихор X-XI-XII-G-H
loc_circumstance_flash_mission_15_description,Хвилі спеціалістів. Чумний газ.
loc_circumstance_flash_mission_15_title,Місія Вихор E-I
loc_circumstance_flash_mission_16_description,Хвилі спеціалістів. Чумний газ. Мисливські угіддя. Хвилі мутантів.
loc_circumstance_flash_mission_16_title,Місія Вихор E-I-III-VII
loc_circumstance_flash_mission_17_description,"Хвилі спеціалістів. Чумний газ. Благословення нурґла (вороги мають шанс отримати посилення, що робить їх міцнішими). Лише фракція дреґів. Посилені патрулі."
loc_circumstance_flash_mission_17_title,Місія Вихор E-H-I-XIV-XV
loc_circumstance_flash_mission_18_description,"Хвилі спеціалістів. Чумний газ. Потворні спеціалісти (існує шанс, що спеціалісти перетворяться на слабших потвор). Снайпери."
loc_circumstance_flash_mission_18_title,Місія Вихор J-I-II-IV
loc_circumstance_flash_mission_19_description,"Хвилі спеціалістів. Чумний газ. Потворні спеціалісти (існує шанс, що спеціалісти перетворяться на слабших потвор). Переважно ближній бій."
loc_circumstance_flash_mission_19_title,Місія Вихор J-I-II-VI
loc_circumstance_hunting_grounds_description,Ворог випустив зграю псів у цьому районі.
