key,value
loc_ability_psyker_blitz_throwing_knives,Психічний штурм
loc_ability_psyker_blitz_throwing_knives_description,"Швидкий кидок, самонавідних снарядів, створених з психічної енергії. Менш ефективно проти панцирної броні."
loc_ability_psyker_chain_lightning,Враження блискавкою
loc_ability_psyker_chain_lightning_description,"Вивільнення потоку біо-блискавки — швидку, спрямовану атаку, що захоплює ціль, приголомшує її та завдає шкоди. Ураження поширюється на навколишніх ворогів. Заряджання підвищує швидкість поширення та шкоду."
loc_ability_psyker_gunslinger_aura,Провидіння
loc_ability_psyker_gunslinger_aura_description,Гравець та союзники в єдності отримують {critical_strike_chance:%s} до ймовірності критичного удару.
loc_ability_psyker_overcharge_movement_speed,Швидкість варпу
loc_ability_psyker_overcharge_movement_speed_description,"{talent_name:%s} тепер також підвищує швидкість руху на {movement_speed:%s}, доки активний."
loc_ability_psyker_overcharge_reduced_warp_charge,Якір реальності
loc_ability_psyker_overcharge_reduced_warp_charge_vent_speed_description,"{talent_name:%s} тепер також зменшує перегрів на {warp_charge:%s} і підвищує згасання на {venting:%s}, доки активний."
loc_ability_psyker_overcharge_weakspot,Передбачення
loc_ability_psyker_overcharge_weakspot_description,"Вбивства у слабке місце рахуються як {second:%s}с, проведені у {talent_name:%s}.

За кожну секунду, проведену у {talent_name:%s}, також отримується {finesse_damage_per_stack:%s} до шкоди від вправності (макс. {max_finesse_damage%s}), що зберігається {duration:%s}с і після виходу з {talent_name:%s}."
loc_talent_crit_chance_low,Підсилення критичного шансу
loc_talent_crit_chance_low_desc,{crit_chance:%s} до шансу критичного удару.
loc_talent_melee_damage_boost_medium,Підсилення ближнього бою
loc_talent_melee_damage_boost_medium_desc,{melee_damage:%s} до шкоди у ближньому бою.
loc_talent_movement_speed_low,Підсилення швидкості руху
loc_talent_movement_speed_low_desc,{movement_speed:%s} швидкості руху.
loc_talent_psyker_ability_increase_brain_burst_speed,Кінетичний резонанс
loc_talent_psyker_ability_increase_brain_burst_speed_desc,Використання бойової здібності змушує {talent_name:%s} заряджатися на {smite_attack_speed:%s} швидше і генерує на {warp_charge_cost:%s} менше перегріву протягом {duration:%s}с.
loc_talent_psyker_alternative_peril_explosion,Кришталева воля
loc_talent_psyker_alternative_peril_explosion_new_desc,"{overload_damage:%s} до шкоди вибуху перевантаження і {overload_radius:%s} радіусу вибуху перевантаження.

Перевантаження через перегрів більше не вирубає, але все одно отримується відповідна шкода погані. Якщо вибух убиває елітного ворога, жодної шкоди погані не наноситься."
loc_talent_psyker_base_2,Бойова медитація
loc_talent_psyker_base_3,Кінетична присутність
loc_talent_psyker_base_3_description,{damage:%s}  до шкоди проти елітних ворогів для гравця і союзників у єдності.
loc_talent_psyker_block_costs_warp_charge,Кінетичне відбиття
loc_talent_psyker_block_costs_warp_charge_desc,"Поки рівень перегріву нижчий за критичний, блокування атак змушує отримувати перегрів замість втрати витривалості.

Отриманий перегрів становить {warp_charge_block_cost:%s} від вартості витривалості заблокованої атаки."
loc_talent_psyker_brain_burst_improved,Підрив макітри
loc_talent_psyker_brain_burst_improved_description,"Зарядити психічну силу і вивільнити її, щоб завдати величезної шкоди одному ворогу. Ефективно проти ворогів у флак і панцерній броні.

Це посилена версія {talent_old:%s}, що завдає {damage:%s} шкоди."
loc_talent_psyker_chain_lightning_damage_heavy_attacks_desc,"Важкі атаки у ближньому бою електризують уражених ворогів, завдаючи їм шкоди."
loc_talent_psyker_chain_lightning_heavy_attacks,Заряджений удар
loc_talent_psyker_chain_lightning_improved_target_buff,Ослаблення
loc_talent_psyker_chain_lightning_improved_target_buff_alt_description,Електризовані вороги отримують на {damage:%s} більше базової шкоди від усіх джерел.
loc_talent_psyker_cleave_from_peril,Розщеплення варпу
loc_talent_psyker_cleave_from_peril_desc,"До {max_cleave:%s} розсічення, залежно від перегріву."
loc_talent_psyker_coherency_size_increase,Ляльковод
loc_talent_psyker_coherency_size_increase_description,{radius_modifier:%s} до радіусу аури єдності.
loc_talent_psyker_combat_ability_overcharge_stance,Око провидця
loc_talent_psyker_combat_ability_overcharge_stance_improved_description,"Активується око провидця. При вході в око провидця гаситься {vent:%s} перегрів, а також отримується {base_damage:%s} до шкоди, {crit_chance:%s} до критичного шансу, {weakspot_damage:%s} до шкоди по слабких місцях, {tdr:%s} до зменшення шкоди по щитам та невразливість до пригнічення. Також відновлюється {toughness:%s} щитів щосекунди.

За кожну секунду у Оці Провидця, отримується {damage_per_stack:%s} до шкоди, аж до максимуму {max_damage:%s}. Цей ефект зберігається протягом {duration:%s}с після виходу з Ока Провидця.

Під час ока провидця накопичується перегрів. Накопичення тимчасово сповільнюється при вбивствах ворогів. При досягненні {max_peril:%s} перегріву Око Провидця завершується.

Базова перезарядка: {cooldown:%s}с"
loc_talent_psyker_combat_ability_shield,Телекінетичний щит
loc_talent_psyker_combat_ability_shield_description,"Створює психічний щит на {duration:%s}с. Щит блокує дальні атаки ворогів, тоді як гравець і союзники все ще можуть стріляти крізь нього.

Базова перезарядка: {cooldown:%s}с."
loc_talent_psyker_cooldown_aura_improved,Присутність провидця
loc_talent_psyker_cooldown_aura_improved_description,"{cooldown_reduction:%s} зменшення перезарядки здібностей для гравця і союзників у єдності.

Це посилена версія {talent_name:%s}."
loc_talent_psyker_cooldown_on_allied_elite_kills_desc,"{cooldown:%s} відновлення перезарядки протягом {time:%s}с, коли гравець або союзник у єдності вбиває елітного ворога чи спеціаліста."
loc_talent_psyker_crits_empower_next_attack,Ідеальний момент
loc_talent_psyker_crits_regen_toughness_speed_description,"Критичні удари відновлюють {toughness:%s} щитів протягом {seconds:%s}с.

Критичні удари також надають {movement_speed:%s} швидкості руху на {seconds:%s}с, накладаючись до {stacks:%s} разів."
loc_talent_psyker_damage_based_on_warp_charge,Вершник варпу
loc_talent_psyker_damage_based_on_warp_charge_desc,Завдає до {max_damage:%s} шкоди (зростає зі збільшенням перегріву).
loc_talent_psyker_damage_on_crit_stacking_desc,{damage:%s} до шкоди протягом {duration:%s}с при критичній атаці. Накладається до {stacks:%s} разів.
loc_talent_psyker_damage_resistance_stun_immunity,Нематеріальний фокус
loc_talent_psyker_damage_resistance_stun_immunity_desc,"{dr:%s} спротиву шкоді, крім того, під час критичного перегріву і протягом {duration:%s}с після нього гравець має імунітет до оглушення."
loc_talent_psyker_damage_to_peril_conversion,Лише сон
loc_talent_psyker_damage_to_peril_conversion_desc,"Поки рівень перегріву нижчий за критичний, {percent:%s} отриманої шкоди перетворюється на перегрів."
loc_talent_psyker_damage_vs_ogryns_and_monsters,Уразливі розуми
loc_talent_psyker_damage_vs_ogryns_and_monsters_desc,{damage:%s} до шкоди проти оґринів і потвор.
loc_talent_psyker_discharge_damage_debuff_description,"{talent_name:%s} зменшення шкоди, завданої ворогами, ураженими на {damage_reduction:%s}, і збільшення їх отриманої шкоди на {damage_taken:%s} протягом {duration:%s}с."
loc_talent_psyker_dodge_after_crits,Емпатичне ухилення
loc_talent_psyker_dodge_after_crits_description,"Критичний удар змушує гравця вважатися таким, що ухиляється від дальніх атак протягом {duration:%s}с."
loc_talent_psyker_elite_and_special_kills_add_warpfire_desc,"Вбивство елітного ворога або спеціаліста накладає {stacks:%s} стак(ів) випалення душі на навколишніх ворогів, завдаючи шкоди з часом."
loc_talent_psyker_elite_kills_add_warpfire,Небезпечне займання
loc_talent_psyker_elite_kills_give_combat_ability_cd_coherency,Аура псайкінетика
loc_talent_psyker_empowered_ability,Посилена псіоніка
loc_talent_psyker_empowered_ability_description,"Вбивства мають {chance:%s} ймовірності посилити наступний бліц.

Посилений {blitz_one:%s}:
{smite_cost:%s} зменшення витрат перегріву
{smite_attack_speed:%s} скорочення часу активування
{smite_damage:%s} шкоди

Посилений {blitz_two:%s}:
{chain_lightning_damage:%s} шкоди
{chain_lightning_jump_time_multiplier:%s} швидше поширення між ворогами

Посилений {blitz_three:%s}:
{throwing_knives_cost:%s} зменшення витрат перегріву.
Базова шкода збільшується з {throwing_knives_old_damage:%s} до {throwing_knives_new_damage:%s}.
Не витрачає зарядів."
loc_talent_psyker_empowered_ability_on_elite_kills,Підкорення душ
loc_talent_psyker_empowered_ability_on_elite_kills_description,Гарантований шанс отримати {talent_name:%s} при вбивстві елітних ворогів.
loc_talent_psyker_empowered_chain_lightnings_replenish_toughness_to_allies,Психічне висмоктування
loc_talent_psyker_empowered_chain_lightnings_replenish_toughness_to_allies_description,"Використання блискавки, коли {talent_name:%s} активне, відновлює {toughness:%s} щитів гравцю та союзникам у єдності."
loc_talent_psyker_force_field_charges,Посилений щит
loc_talent_psyker_force_field_charges_cooldown_description,"{talent_name:%s} тепер може накопичувати до {max_charges:%s} зарядів, а його перезарядка зменшена до {cooldown:%s} с."
loc_talent_psyker_force_field_dome,Телекінетичний купол
loc_talent_psyker_force_field_dome_new_desc,"{talent_name:%s} тепер створює сферичний щит, який триває {duration:%s} с."
loc_talent_psyker_force_field_grants_toughness,Святилище
loc_talent_psyker_force_field_grants_toughness_desc,"Союзники всередині {talent_name:%s} відновлюють {toughness:%s} щитів щосекунди. Коли {talent_name:%s} розсіюється, усі союзники всередині отримують {toughness_damage_reduction:%s} зменшення шкоди по щитах на {duration:%s} с."
loc_talent_psyker_force_field_stun_increased,Послаблюючий поріг
loc_talent_psyker_force_field_stun_increased_new_description,"{ability:%s} має {proc_chance:%s} шансу уразити електричним розрядом ворогів, що проходять крізь нього. Елітні вороги мають {special_proc_chance:%s} шанс бути ураженими, але також завдають шкоди психічному щиту."
loc_talent_psyker_force_staff_bonus,Спрямована сила
