"key","value"
"loc_psyker_female_a__ability_biomancer_high_01","Славою мого незрівнянного інтелекту!"
"loc_psyker_female_a__ability_biomancer_high_02","Face my incomparable wrath!"
"loc_psyker_female_a__ability_biomancer_high_03","I shall sweep all before me!"
"loc_psyker_female_a__ability_biomancer_high_04","Worship me or die!"
"loc_psyker_female_a__ability_biomancer_high_05","I am death! [Laugh]"
"loc_psyker_female_a__ability_biomancer_high_06","Cower! Plead! Beg!"
"loc_psyker_female_a__ability_biomancer_high_07","[Mad/Pained Laughter]"
"loc_psyker_female_a__ability_biomancer_high_08","[Mad/Pained Laughter]"
"loc_psyker_female_a__ability_biomancer_low_01","You are nothing!"
"loc_psyker_female_a__ability_biomancer_low_02","Bugs beneath my heel!"
"loc_psyker_female_a__ability_biomancer_low_03","Quail, insects!"
"loc_psyker_female_a__ability_biomancer_low_04","Kneel! Kneel!"
"loc_psyker_female_a__ability_biomancer_low_05","I call the Warp!"
"loc_psyker_female_a__ability_biomancer_low_06","By the Five!"
"loc_psyker_female_a__ability_biomancer_low_07","Let the Warp flow!"
"loc_psyker_female_a__ability_biomancer_low_08","This is but a taste!"
"loc_psyker_female_a__ability_buff_stance_a_01","Quail before my power!"
"loc_psyker_female_a__ability_buff_stance_a_02","Fear the power of the Warp!"
"loc_psyker_female_a__ability_buff_stance_a_03","Kneel before me!"
"loc_psyker_female_a__ability_buff_stance_a_04","You should be running, cretins!"
"loc_psyker_female_a__ability_buff_stance_a_05","Yes! The Warp flows through me!"
"loc_psyker_female_a__ability_buff_stance_a_06","I. Am. UNSTOPPABLE!"
"loc_psyker_female_a__ability_buff_stance_a_07","You're all going to die! Isn't that nice?"
"loc_psyker_female_a__ability_buff_stance_a_08","I think it's time to kill everyone!"
"loc_psyker_female_a__ability_buff_stance_a_09","I am beyond you!"
"loc_psyker_female_a__ability_buff_stance_a_10","Quail! Beg! Scream!"
"loc_psyker_female_a__ability_gunslinger_01","Sight beyond sight!"
"loc_psyker_female_a__ability_gunslinger_02","Here: a present, just for you!"
"loc_psyker_female_a__ability_gunslinger_03","Seek my foes!"
"loc_psyker_female_a__ability_gunslinger_04","Shards of hatred, do your thing!"
"loc_psyker_female_a__ability_gunslinger_05","Run, heretic! They will find you anyway!"
"loc_psyker_female_a__ability_gunslinger_06","Seek! Destroy! Yes!"
"loc_psyker_female_a__ability_gunslinger_07","Taste a fraction of my pain!"
"loc_psyker_female_a__ability_gunslinger_08","You cannot run from me!"
"loc_psyker_female_a__ability_gunslinger_09","Seek! Locate! Destroy!"
"loc_psyker_female_a__ability_gunslinger_10","I will find you!"
"loc_psyker_female_a__ability_gunslinger_11","Seek their eyes!"
"loc_psyker_female_a__ability_gunslinger_12","I have a gift for you!"
"loc_psyker_female_a__ability_gunslinger_13","Start running!"
"loc_psyker_female_a__ability_gunslinger_14","I can see you!"
"loc_psyker_female_a__ability_gunslinger_15","No, don't try to hide!"
"loc_psyker_female_a__ability_protectorate_start_01","Psychic shield!"
"loc_psyker_female_a__ability_protectorate_start_02","Force dome raised!"
"loc_psyker_female_a__ability_protectorate_start_03","Raising shield!"
"loc_psyker_female_a__ability_protectorate_start_04","Shelter, simpletons!"
"loc_psyker_female_a__ability_protectorate_start_05","Cretins! I have a shield!"
"loc_psyker_female_a__ability_protectorate_start_06","I will protect you, simpletons!"
"loc_psyker_female_a__ability_protectorate_start_07","Take shelter!"
"loc_psyker_female_a__ability_protectorate_start_08","Warp shield raised!"
"loc_psyker_female_a__ability_protectorate_stop_01","Cannot ... hold ... it ..."
"loc_psyker_female_a__ability_protectorate_stop_02","Shield ... failing!"
"loc_psyker_female_a__ability_protectorate_stop_03","The shield is falling!"
"loc_psyker_female_a__ability_protectorate_stop_04","Cannot ... keep ... going!"
"loc_psyker_female_a__ability_protectorate_stop_05","I cannot do this all day!"
"loc_psyker_female_a__ability_protectorate_stop_06","It's going! It's going!"
"loc_psyker_female_a__ability_protectorate_stop_07","Shield is down!"
"loc_psyker_female_a__ability_protectorate_stop_08","I can't ... [Pained Cry]"
"loc_psyker_female_a__ability_venting_01","Be still ... Be still ... Be still ..."
"loc_psyker_female_a__ability_venting_02","Too much ... Too much ..."
"loc_psyker_female_a__ability_venting_03","Must rest ... Must rest ..."
"loc_psyker_female_a__ability_venting_04","Must be calm."
"loc_psyker_female_a__ability_venting_05","Losing ... control ..."
"loc_psyker_female_a__ability_venting_06","I will not lose control. I will not ..."
"loc_psyker_female_a__ability_venting_07","[Hurried breathing]"
"loc_psyker_female_a__ability_venting_08","[Sigh]"
"loc_psyker_female_a__ability_venting_09","[Sigh]"
"loc_psyker_female_a__ability_venting_10","[Sigh]"
"loc_psyker_female_a__alerted_2_enemy_daemonhost_01","Too late!"
"loc_psyker_female_a__alerted_2_enemy_daemonhost_02","It's awake!"
"loc_psyker_female_a__alerted_2_enemy_daemonhost_03","It's coming!"
"loc_psyker_female_a__alerted_2_enemy_daemonhost_04","It hungers!"
"loc_psyker_female_a__alerted_2_enemy_daemonhost_05","It thirsts!"
"loc_psyker_female_a__alerted_2_enemy_daemonhost_06","It wants your soul!"
"loc_psyker_female_a__alerted_2_enemy_daemonhost_07","It hungers for your soul!"
"loc_psyker_female_a__alerted_2_enemy_daemonhost_08","You cretin!"
"loc_psyker_female_a__alerted_2_enemy_daemonhost_09","What have you done?"
"loc_psyker_female_a__alerted_2_enemy_daemonhost_10","Imbecile!"
"loc_psyker_female_a__alerted_enemy_daemonhost_01","Stop it!"
"loc_psyker_female_a__alerted_enemy_daemonhost_02","No!"
"loc_psyker_female_a__alerted_enemy_daemonhost_03","Don't!"
"loc_psyker_female_a__alerted_enemy_daemonhost_04","Simpleton!"
"loc_psyker_female_a__alerted_enemy_daemonhost_05","Stop, cretin!"
"loc_psyker_female_a__alerted_enemy_daemonhost_06","You'll wake it!"
"loc_psyker_female_a__alerted_enemy_daemonhost_07","Don't draw its gaze!"
"loc_psyker_female_a__alerted_enemy_daemonhost_08","Don't let it see you!"
"loc_psyker_female_a__alerted_enemy_daemonhost_09","Don't wake it!"
"loc_psyker_female_a__alerted_enemy_daemonhost_10","Desist! At once!"
"loc_psyker_female_a__almost_there_01","[Heavy breathing] At last ..."
"loc_psyker_female_a__almost_there_02","[Heavy breathing] Don't leave me ..."
"loc_psyker_female_a__almost_there_03","[Heavy breathing] I can make it ..."
"loc_psyker_female_a__almost_there_04","[Heavy breathing] Curse these boots ..."
"loc_psyker_female_a__almost_there_05","[Heavy breathing] So much running ..."
"loc_psyker_female_a__asset_foul_smoke_01","[Fast, pained breathing]"
"loc_psyker_female_a__asset_foul_smoke_02","[Cough] Horrible ..."
"loc_psyker_female_a__asset_foul_smoke_03","[Cough] That's noxious ..."
"loc_psyker_female_a__asset_foul_smoke_04","[Pained Breathing] So vile ..."
"loc_psyker_female_a__asset_grease_pit_01","Well, that looks utterly revolting. Try not to fall in."
"loc_psyker_female_a__asset_grease_pit_02","If you tumble into that sludge, I'm not pulling you out."
"loc_psyker_female_a__asset_nurgle_growth_01","Well, that's positively revolting."
"loc_psyker_female_a__asset_nurgle_growth_02","Even for this place that's a vile aberration, don't you think?"
"loc_psyker_female_a__asset_nurgle_growth_03","Positively disgusting. Like a Blunt's manners."
"loc_psyker_female_a__asset_nurgle_growth_04","Ah, the physical extrusion of psychic turbulence. Fascinating."
"loc_psyker_female_a__asset_nurgle_growth_05","Well, that's vile. But what around here is not, eh?"
"loc_psyker_female_a__asset_sigil_01","So this place was once a consulate? How well did their rules and regulations serve them, hmm?"
"loc_psyker_female_a__asset_sigil_02","The Atoman consulate. As if travel were ever anyone's business save the traveller's."
"loc_psyker_female_a__asset_unnatural_dark_a_01","Darkness. [Snort] Of course."
"loc_psyker_female_a__asset_unnatural_dark_a_02","Oh good. The lights are out."
"loc_psyker_female_a__asset_unnatural_dark_a_03","The lights are out. Does nothing work in this place?"
"loc_psyker_female_a__asset_unnatural_dark_a_04","It's very gloomy up ahead."
"loc_psyker_female_a__asset_unnatural_dark_b_01","How am I supposed to see in that?"
"loc_psyker_female_a__asset_unnatural_dark_b_02","I'm going to stub a toe. I just know it."
"loc_psyker_female_a__asset_unnatural_dark_b_03","There could be anything in there."
"loc_psyker_female_a__asset_unnatural_dark_b_04","I knew it! Something's about to spring a trap!"
"loc_psyker_female_a__away_from_squad_01","Ah. Alone."
"loc_psyker_female_a__away_from_squad_02","Where are the simpletons?"
"loc_psyker_female_a__away_from_squad_03","They've all wandered off, that's what it is."
"loc_psyker_female_a__away_from_squad_04","What are they playing at?"
"loc_psyker_female_a__away_from_squad_05","Simpletons? Where are you?"
"loc_psyker_female_a__away_from_squad_06","Terra! Where have they gone?"
"loc_psyker_female_a__away_from_squad_07","I seem to be alone."
"loc_psyker_female_a__away_from_squad_08","Alone, but not lonely… definitely not safe…"
"loc_psyker_female_a__away_from_squad_09","Ah. Perhaps I should find the others."
"loc_psyker_female_a__away_from_squad_10","Why am I alone? I'm sure it's not my fault."
"loc_psyker_female_a__blitz_brainburst_chain_a_01","Pop!"
"loc_psyker_female_a__blitz_brainburst_chain_a_02","Such a tiny brain to begin with ..."
"loc_psyker_female_a__blitz_brainburst_chain_a_03","Such a mess ..."
"loc_psyker_female_a__blitz_brainburst_chain_a_04","I really shouldn't be enjoying this ..."
"loc_psyker_female_a__blitz_brainburst_chain_a_05","No sense. No feeling. No head."
