key,value
content/characters/player/ogryn/attachments_gear/upperbody/ogryn_upperbody_career_02_attach_lvl_01/ogryn_upperbody_career_02_attach_lvl_01,Виявлено присутність Чумного Оґрина.
loc_adamant_female_a__intro_01,"Лекс Імперіаліс — це більше, ніж закон. Це священна мудрість, передана Суддею Терри тим, хто береже порядок. Його не належить ставити під сумнів чи кидати йому виклик — його слід втілювати без вагань і без страху. Приносячи Закон тим, хто його не має, ми приносимо порядок Імперіуму і всій галактиці. "
loc_adamant_female_b__intro_01,"Лекс Імперіаліс не досконалий. Можливо, таким він був за часів Малкадора, але за жалюгідні тисячоліття відтоді кров людства помітно збідніла. Нині ті, хто заявляє, що дотримується його кодициліїв, підривають не менше, ніж охороняють. Ні, Закон не досконалий, але доки він служить — я служитиму йому у відповідь... а через нього — Террі та Імперіуму. "
loc_adamant_female_c__intro_01,"Не може бути жодного виправдання порушенню Закону. Навіть найменший злочин породжує безлад. Безлад породжує єресь. А коли єресь шириться, здригається сам Імперіум. Краще, щоб сто, тисяча, мільйон невинних душ постали перед Санкцією Милосердя, ніж щоб бодай один порушник Закону ходив на волі. Це Воля Закон — і моя також. "
loc_adamant_male_a__intro_01,"Лекс Імперіаліс — це більше, ніж закон. Це священна мудрість, передана Суддею Терри тим, хто береже порядок. Його не належить ставити під сумнів чи кидати йому виклик — його слід втілювати без вагань і без страху. Приносячи Закон тим, хто його не має, ми приносимо порядок Імперіуму і всій галактиці. "
loc_adamant_male_b__intro_01,"Лекс Імперіаліс не досконалий. Можливо, таким він був за часів Малкадора, але за жалюгідні тисячоліття відтоді кров людства помітно збідніла. Нині ті, хто заявляє, що дотримується його кодициліїв, підривають не менше, ніж охороняють. Ні, Закон не досконалий, але доки він служить — я служитиму йому у відповідь... а через нього — Террі та Імперіуму. "
loc_adamant_male_c__intro_01,"Не може бути жодного виправдання порушенню Закону. Навіть найменший злочин породжує безлад. Безлад породжує єресь. А коли єресь шириться, здригається сам Імперіум. Краще, щоб сто, тисяча, мільйон невинних душ постали перед Санкцією Милосердя, ніж щоб бодай один порушник Закону ходив на волі. Це Воля Закон — і моя також. "
loc_adamant_officer_a__hub_greeting_dislikes_character_a_05,Чи готові ви служити чомусь більшому за себе?
loc_archive_servitor_a__activate_from_hibernation_a_01,Деактивація протоколів гібернації. Очікування... Очікування... Очікування...
loc_archive_servitor_a__activate_from_hibernation_a_03,Почати пробудження. Обробка схованих інструкцій. Обробка... Обробка...
loc_archive_servitor_a__activate_from_hibernation_a_04,Слава Омніссії! Хвали його... Хвали його... Хвали його... Його справи.
loc_archive_servitor_a__activate_from_hibernation_a_05,"Налаштування Скривенер протоколів. Будь ласка, зачекайте. Будь ласка... зачекайте... Будь ласка..."
loc_archive_servitor_a__player_interact_a_01,Інструкції розпізнано... Аналіз... Аналіз...
loc_archive_servitor_a__player_interact_a_03,Контрольна сума дійсна. Почати розшифрування. Отримую доступ... Отримую доступ... Отримую доступ...
loc_archive_servitor_a__player_interact_a_04,Доступ до масиву даних. Кореляція результатів. Інтерпретація... Інтерпретація...
loc_archive_servitor_a__player_interact_a_05,"Підтверджено... Підтверджено... Підтверджено... Зачекайте, будь ласка."
loc_archive_servitor_a__task_complete_a_01,Процес завершено.
loc_archive_servitor_a__task_complete_a_02,Виконано. Результат задовільний?
loc_archive_servitor_a__task_complete_a_03,Обробка... Обробка... Завершено.
