key,value
loc_psyker_female_a__ability_biomancer_high_01,Славою мого незрівнянного інтелекту!
loc_psyker_female_a__ability_biomancer_high_01,Славою мого незрівнянного інтелекту!
loc_psyker_female_a__ability_biomancer_high_02,Пізнайте мій незрівнянний гнів!
loc_psyker_female_a__ability_biomancer_high_03,Я змету все на своєму шляху!
loc_psyker_female_a__ability_biomancer_high_04,Поклоняйтеся мені або помріть!
loc_psyker_female_a__ability_biomancer_high_05,Я — сама смерть! [Сміх]
loc_psyker_female_a__ability_biomancer_high_06,Тремтіть! Благайте! Моліть про пощаду!
loc_psyker_female_a__ability_biomancer_high_07,[Маніакальний сміх]
loc_psyker_female_a__ability_biomancer_high_08,[Хворобливий сміх]
loc_psyker_female_a__ability_biomancer_low_01,Ви — ніщо!
loc_psyker_female_a__ability_biomancer_low_02,Ви — комахи під моєю п’ятою!
loc_psyker_female_a__ability_biomancer_low_03,"Тремтіть, комахи!"
loc_psyker_female_a__ability_biomancer_low_04,На коліна! На коліна!
loc_psyker_female_a__ability_biomancer_low_05,Я закликаю Варп!
loc_psyker_female_a__ability_biomancer_low_06,Клянуся П'ятьма!
loc_psyker_female_a__ability_biomancer_low_07,Дайте волю Варпу!
loc_psyker_female_a__ability_biomancer_low_08,Це лише проба моїх сил!
loc_psyker_female_a__ability_buff_stance_a_01,Схиліться перед моєю силою!
loc_psyker_female_a__ability_buff_stance_a_02,Бійся могутності Варпу!
loc_psyker_female_a__ability_buff_stance_a_03,На коліна переді мною!
loc_psyker_female_a__ability_buff_stance_a_04,"Вам варто було б тікати, кретини!"
loc_psyker_female_a__ability_buff_stance_a_05,Так! Варп тече крізь мене!
loc_psyker_female_a__ability_buff_stance_a_06,Я. НЕПЕРЕМОЖНИЙ!
loc_psyker_female_a__ability_buff_stance_a_07,Ви всі помрете! Хіба це не чудово?
loc_psyker_female_a__ability_buff_stance_a_08,"Я думаю, настав час убити всіх!"
loc_psyker_female_a__ability_buff_stance_a_09,Я — поза вашим розумінням!
loc_psyker_female_a__ability_buff_stance_a_10,Тремтіть! Благайте! Кричіть!
loc_psyker_female_a__ability_gunslinger_01,Зір поза межами зору!
loc_psyker_female_a__ability_gunslinger_02,Ось тримай: подарунок спеціально для тебе!
loc_psyker_female_a__ability_gunslinger_03,Шукай моїх ворогів!
loc_psyker_female_a__ability_gunslinger_04,"Осколки ненависті, робіть свою справу!"
loc_psyker_female_a__ability_gunslinger_05,"Тікай, єретику! Вони все одно тебе знайдуть!"
loc_psyker_female_a__ability_gunslinger_06,Шукай! Знищуй! Так!
loc_psyker_female_a__ability_gunslinger_07,Відчуйте хоча б малу частину мого болю!
loc_psyker_female_a__ability_gunslinger_08,Вам від мене не втекти!
loc_psyker_female_a__ability_gunslinger_09,Шукати! Виявити! Знищити!
loc_psyker_female_a__ability_gunslinger_10,Я знайду тебе!
loc_psyker_female_a__ability_gunslinger_11,Шукайте їхні очі!
loc_psyker_female_a__ability_gunslinger_12,Маю для тебе дарунок!
loc_psyker_female_a__ability_gunslinger_13,Починай бігти!
loc_psyker_female_a__ability_gunslinger_14,Я тебе бачу!
loc_psyker_female_a__ability_gunslinger_15,"Ні, не ховайся!"
loc_psyker_female_a__ability_protectorate_start_01,Психічний щит!
loc_psyker_female_a__ability_protectorate_start_02,Силовий купол розгорнуто!
loc_psyker_female_a__ability_protectorate_start_03,Підіймаю щит!
loc_psyker_female_a__ability_protectorate_start_04,"Ховайтеся, недоумки!"
loc_psyker_female_a__ability_protectorate_start_05,Кретини! У мене є щит!
loc_psyker_female_a__ability_protectorate_start_06,"Я захищу вас, недоумки!"
loc_psyker_female_a__ability_protectorate_start_07,В укриття!
loc_psyker_female_a__ability_protectorate_start_08,Щит Варпу піднято!
loc_psyker_female_a__ability_protectorate_stop_01,Не можу... втримати...
loc_psyker_female_a__ability_protectorate_stop_02,Щит... не тримається!
loc_psyker_female_a__ability_protectorate_stop_03,Щит падає!
loc_psyker_female_a__ability_protectorate_stop_04,Не можу... більше... триматися!
loc_psyker_female_a__ability_protectorate_stop_05,Я не можу робити це цілий день!
loc_psyker_female_a__ability_protectorate_stop_06,Він зникає! Він зникає!
loc_psyker_female_a__ability_protectorate_stop_07,Щит упав!
loc_psyker_female_a__ability_protectorate_stop_08,Я не можу... [Болісний крик]
loc_psyker_female_a__ability_venting_01,Заспокойся... Заспокойся... Заспокойся...
loc_psyker_female_a__ability_venting_02,Надто багато... Надто багато...
loc_psyker_female_a__ability_venting_03,Мушу відпочити... Мушу відпочити...
loc_psyker_female_a__ability_venting_04,Мушу бути спокійним.
loc_psyker_female_a__ability_venting_05,Втрачаю... контроль...
loc_psyker_female_a__ability_venting_06,Я не втрачу контроль. Я не...
loc_psyker_female_a__ability_venting_07,[Переривчасте дихання]
loc_psyker_female_a__ability_venting_08,[Зітхання]
loc_psyker_female_a__ability_venting_09,[Зітхання]
loc_psyker_female_a__ability_venting_10,[Зітхання]
loc_psyker_female_a__adamant_female_a_psyker_bonding_conversation_31_b_01,"О, добре. Аби ми були КОРИСНИМИ."
loc_psyker_female_a__adamant_female_a_psyker_bonding_conversation_31_d_01,Як це заспокоює.
loc_psyker_female_a__adamant_female_a_psyker_bonding_conversation_32_b_01,"Значить, у нього кращий смак, ніж у його контролера."
loc_psyker_female_a__adamant_female_a_psyker_bonding_conversation_32_d_01,"Смачна їжа, я б не дивувалася."
loc_psyker_female_a__adamant_female_a_psyker_bonding_conversation_33_b_01,Звісно. Я тренувалася.
loc_psyker_female_a__adamant_female_a_psyker_bonding_conversation_33_d_01,Це звучить підозріло схоже на дозвіл. Бва-ха-ха-ха-ха!
loc_psyker_female_a__adamant_female_a_psyker_bonding_conversation_34_b_01,Хіба ти не маєш цього знати? Тю-тю-тю.
loc_psyker_female_a__adamant_female_a_psyker_bonding_conversation_34_d_01,"Тоді ти не можеш очікувати, що я порушу субординацію, чи не так?"
loc_psyker_female_a__adamant_female_a_psyker_bonding_conversation_35_b_01,"Тобі варто бути обережнішим, визнаючи свої ілюзії. Принаймні, завуалюй їх поезією. Кажуть, так заведено."
loc_psyker_female_a__adamant_female_a_psyker_bonding_conversation_35_d_01,Я нічого не соромлюся. Тобі варто спробувати.
loc_psyker_female_a__adamant_female_a_psyker_bonding_conversation_36_a_01,"Якби я не знала краще, я б сказала, що ти намагаєшся бути дружелюбною."
loc_psyker_female_a__adamant_female_a_psyker_bonding_conversation_36_c_01,Неодмінно.
loc_psyker_female_a__adamant_female_a_psyker_bonding_conversation_37_a_01,О ні. Знову те саме. Це все дуже гнітюче.
loc_psyker_female_a__adamant_female_a_psyker_bonding_conversation_37_c_01,Я живу в постійному стані розчарованої надії.
loc_psyker_female_a__adamant_female_a_psyker_bonding_conversation_38_a_01,"Ми марнуємо забагато часу. Мені стає нудно. Я тобі не сподобаюся, коли мені нудно."
loc_psyker_female_a__adamant_female_a_psyker_bonding_conversation_38_c_01,"Ні, ти відчуваєш. Ти просто любиш вдавати холодність та відстороненість, бо відчувати щось, будь-що, лякає тебе більше за смерть."
loc_psyker_female_a__adamant_female_a_psyker_bonding_conversation_39_a_01,Ти дуже змагальна. Це виснажує.
loc_psyker_female_a__adamant_female_a_psyker_bonding_conversation_39_c_01,Зворотна психологія на мене не діє.
loc_psyker_female_a__adamant_female_a_psyker_bonding_conversation_40_a_01,"Ласкаво просимо до Атоми: паршиве житло, ще гірший краєвид і жахливі сусіди, скільки сягає око."
loc_psyker_female_a__adamant_female_a_psyker_bonding_conversation_40_c_01,"Особливо, коли тікаєш, рятуючи своє життя, і кричиш від жаху, так."
loc_psyker_female_a__adamant_female_b_psyker_bonding_conversation_31_b_01,Певною мірою? Вони незрівнянні! [Сміх]
loc_psyker_female_a__adamant_female_b_psyker_bonding_conversation_31_d_01,"О ні, це набагато вражаюче."
loc_psyker_female_a__adamant_female_b_psyker_bonding_conversation_32_b_01,Це добре. Я люблю бути незабутньою.
loc_psyker_female_a__adamant_female_b_psyker_bonding_conversation_32_d_01,"О, то в нас ТАКА розмова."
loc_psyker_female_a__adamant_female_b_psyker_bonding_conversation_33_b_01,Ти пропонуєш мене навчити?
loc_psyker_female_a__adamant_female_b_psyker_bonding_conversation_33_d_01,Ні.
loc_psyker_female_a__adamant_female_b_psyker_bonding_conversation_34_b_01,"Дякую, але не впевнена, що хочу. Деякі речі ВАРТО руйнувати."
loc_psyker_female_a__adamant_female_b_psyker_bonding_conversation_34_d_01,"Я знаю, що Зола буде."
loc_psyker_female_a__adamant_female_b_psyker_bonding_conversation_35_b_01,Я ЗАВЖДИ ігнорую Бузувірів. У них такі смішні тоненькі голоси.
loc_psyker_female_a__adamant_female_b_psyker_bonding_conversation_35_d_01,"Так, але він використовує його лише для пустих слів."
loc_psyker_female_a__adamant_female_b_psyker_bonding_conversation_36_a_01,"Ти не ходиш. Ти крадешся. Це ніби спостерігати, як підкрадається тінь смерті."
loc_psyker_female_a__adamant_female_b_psyker_bonding_conversation_36_c_01,"Я так і думала. Тиха театральність, чи не так?"
loc_psyker_female_a__adamant_female_b_psyker_bonding_conversation_37_a_01,Ти ніколи не виглядаєш розгубленою. Ти вивчала це місце?
loc_psyker_female_a__adamant_female_b_psyker_bonding_conversation_37_c_01,"Ти, мабуть, вже вивчила напам'ять увесь вулик."
loc_psyker_female_a__adamant_female_b_psyker_bonding_conversation_38_a_01,"Ти ніколи не втомлюєшся? Мені стає зле, лише спостерігаючи, як ти крадешся."
loc_psyker_female_a__adamant_female_b_psyker_bonding_conversation_38_c_01,"Так, я знала колись одного такого. Тепер він спить. Вічним сном."
loc_psyker_female_a__adamant_female_b_psyker_bonding_conversation_39_a_01,"Здається, твій Вбивце-пес розважається."
loc_psyker_female_a__adamant_female_b_psyker_bonding_conversation_39_c_01,"Головне, щоб я не стала однією з тих іграшок."
loc_psyker_female_a__adamant_female_b_psyker_bonding_conversation_40_a_01,"Я б хотіла мати таку броню, як у тебе."
loc_psyker_female_a__adamant_female_b_psyker_bonding_conversation_40_c_01,"Все своє життя мене переслідували, цькували, гнали, погрожували, викрадали й обпльовували. Не кажи мені про силу."
loc_psyker_female_a__adamant_female_c_psyker_bonding_conversation_31_a_01,Все йде надто добре. Я цьому не довіряю.
loc_psyker_female_a__adamant_female_c_psyker_bonding_conversation_31_c_01,"Я не очікувала, що ти погодишся."
loc_psyker_female_a__adamant_female_c_psyker_bonding_conversation_32_a_01,Я не мала так скоро передислоковуватися. Морроу мене ненавидить.
loc_psyker_female_a__adamant_female_c_psyker_bonding_conversation_32_c_01,"Так, але мене він ненавидить більше."
loc_psyker_female_a__adamant_female_c_psyker_bonding_conversation_33_a_01,"Я довіряю тобі, що ти не вистрелиш у мене."
loc_psyker_female_a__adamant_female_c_psyker_bonding_conversation_33_c_01,Що ж... ТЕПЕР я точно переймаюся.
loc_psyker_female_a__adamant_female_c_psyker_bonding_conversation_34_a_01,Це жалюгідний спосіб жити.
loc_psyker_female_a__adamant_female_c_psyker_bonding_conversation_34_c_01,Це все одно жалюгідний спосіб жити.
loc_psyker_female_a__adamant_female_c_psyker_bonding_conversation_35_a_01,"Я не люблю працювати з людьми, які мені не довіряють."
loc_psyker_female_a__adamant_female_c_psyker_bonding_conversation_35_c_01,"О, дуже мило. То ти навіть не спробуєш мені довіряти?"
loc_psyker_female_a__adamant_female_c_psyker_bonding_conversation_36_b_01,"Я? Чому ти припускаєш, що я взагалі буду намагатися?"
loc_psyker_female_a__adamant_female_c_psyker_bonding_conversation_36_d_01,"Завдяки тобі і твоїм подібним, так."
loc_psyker_female_a__adamant_female_c_psyker_bonding_conversation_37_b_01,"Ні, дякую. Це лише нагода для тебе побити мене до крові з офіційного дозволу."
loc_psyker_female_a__adamant_female_c_psyker_bonding_conversation_37_d_01,Тоді... я подумаю про це.
loc_psyker_female_a__adamant_female_c_psyker_bonding_conversation_38_b_01,Я цілком здатна подбати про себе.
loc_psyker_female_a__adamant_female_c_psyker_bonding_conversation_38_d_01,"А... триматися рівніше, так?"
loc_psyker_female_a__adamant_female_c_psyker_bonding_conversation_39_b_01,"І тих, кого ти вважаєш такими. "
loc_psyker_female_a__adamant_female_c_psyker_bonding_conversation_39_d_01,Тоді в мене для тебе жахливі новини...
loc_psyker_female_a__adamant_female_c_psyker_bonding_conversation_40_b_01,"Загарбникам? Будь ласка, скажи, що ти маєш на увазі загарбників."
loc_psyker_female_a__adamant_female_c_psyker_bonding_conversation_40_d_01,Це не дуже втішає.
loc_psyker_female_a__adamant_male_a_psyker_bonding_conversation_31_b_01,"Скромність — це добре, але правда завжди має бути на першому місці."
loc_psyker_female_a__adamant_male_a_psyker_bonding_conversation_31_d_01,"Це, безумовно, приємно... якщо це правда."
loc_psyker_female_a__adamant_male_a_psyker_bonding_conversation_32_b_01,"Тоді ти, мабуть, був дуже, дуже, дуже, дуже... дуже зайнятий."
loc_psyker_female_a__adamant_male_a_psyker_bonding_conversation_32_d_01,Винен у цьому лише ти.
loc_psyker_female_a__adamant_male_a_psyker_bonding_conversation_33_b_01,"Якщо я скажу тобі, щось невимовне може проповзти по цьому знанню прямо в твій мозок. Варто ризикувати?"
loc_psyker_female_a__adamant_male_a_psyker_bonding_conversation_33_d_01,"Це його не зупинить. Проблема не в середовищі, а в повідомленні."
