key,value
loc_talent_adamant_clip_size_alt_desc,{clip_size:%s} до розмір магазину
loc_talent_melee_damage_boost_medium,Посилення шкоди ближнього бою
loc_talent_melee_damage_boost_medium_desc,{melee_damage:%s} до шкоди у ближньому бою.
loc_talent_movement_speed_low,Посилення швидкості руху
loc_talent_movement_speed_low_desc,{movement_speed:%s} до швидкість руху.
loc_talent_ranged_damage_medium,Посилення шкоди дальнього бою
loc_talent_ranged_damage_medium_desc,{ranged_damage:%s} до шкоди дальнього бою.
loc_talent_ranger_ads_drains_stamina_boost,Смертестріл
loc_talent_ranger_grenade_on_elite_kills_coop,Команда підривників
loc_talent_ranger_reload_speed_empty_mag,Тактична перезарядка
loc_talent_ranger_replenish_grenade,Склад боєприпасів
loc_talent_ranger_volley_fire_big_game_hunter,Чим більша шафа...
loc_talent_reload_speed_medium,Покращена перезарядка
loc_talent_reload_speed_medium_desc,{reload_speed:%s} до швидкості перезарядки.
loc_talent_stamina_low,Посилення витривалості
loc_talent_stamina_low_desc,{stamina:%s} витривалості.
loc_talent_stamina_regen_delay,Посилення відновлення витривалості
loc_talent_stamina_regen_delay_desc,Зменшення затримки відновлення витривалості на {duration:%s}с
loc_talent_toughness_boost_low,Посилення щитів
loc_talent_toughness_boost_low_desc,{toughness:%s} щитів.
loc_talent_toughness_boost_medium,Посилення щитів
loc_talent_toughness_boost_medium_desc,{toughness:%s} щитів.
loc_talent_toughness_damage_reduction_medium,Зменшення шкоди по щитах
loc_talent_toughness_damage_reduction_medium_desc,{toughness:%s} зменшення шкоди по щитах.
loc_talent_veteran_2_tier_1_name_3,Таємний агент
loc_talent_veteran_2_tier_2_name_2,Заряджай і стріляй
loc_talent_veteran_ability_marksman,Міткий стрілець
loc_talent_veteran_ability_marksman_desc,"Після використання здібності, протягом {duration%s}с будь-які влучання у слабке місце дають {power%s} сили.
Під час використання {talent_name:%s}, ефект спрацьовує після виходу зі невидимості."
loc_talent_veteran_ads_drains_stamina_boost_desc,"{crit_chance:%s} шансу критичного удару і {sway_reduction:%s} зменшення хитання під час використання альтернативного вогню дальньої зброї, але втрачається {stamina:%s} витривалість щосекунди та додатково {stamina_per_shot:%s} за кожен постріл."
loc_talent_veteran_all_kills_replenish_toughness,Кров до крові
loc_talent_veteran_all_kills_replenish_toughness_description,Вбивства відновлюють додатково {toughness%s} щитів.
loc_talent_veteran_allies_share_toughness,Природжений лідер
loc_talent_veteran_allies_share_toughness_coherency_increase_description,"Союзники в єдності відновлюють {toughness:%s} щитів стільки ж, скільки і Ветеран. Радіус єдності: {radius:%s}."
loc_talent_veteran_ally_kills_increase_damage,Жага змагання
loc_talent_veteran_ally_kills_increase_damage_description,"{proc_chance:%s} шансу отримати {damage:%s} до базового шкоди, {melee_impact:%s} до шкоди в ближньому бою та {suppression:%s} пригнічення на {duration:%s}с, коли союзник убиває ворога."
loc_talent_veteran_ammo_increase,Набитий підзав'язку
loc_talent_veteran_ammo_increase_desc,{ammo:%s} набоїв.
loc_talent_veteran_better_deployables,Польова імпровізація
loc_talent_veteran_better_deployables_description,"Ящики з набоями також відновлюють гранати.
Медпаки лікують на {damage_heal:%s} швидше, очищують погань і відновлюють {toughness:%s} щитів за секунду."
loc_talent_veteran_big_game_hunter,Вали його!
loc_talent_veteran_big_game_hunter_description,{damage%s} до шкоди (по оґринах і потворах).
loc_talent_veteran_block_break_gives_tdr,Залізна воля
loc_talent_veteran_bonus_crit_chance_on_ammo,Перший залп
loc_talent_veteran_bonus_crit_chance_on_ammo_desc,Перший {ammo:%s} патрон після перезарядки має {crit_chance:%s} шанс критичного влучання на дальній відстані.
loc_talent_veteran_combat_ability_coherency_outlines,Покращений пріоритет цілей
loc_talent_veteran_combat_ability_coherency_outlines_description,{talent_name:%s} тепер підсвічує еліту і спеціальних ворогів для союзників у єдності протягом {duration:%s}с.
loc_talent_veteran_combat_ability_elite_and_special_outlines,Постава винищувача
loc_talent_veteran_combat_ability_extra_charge,Бойовий нагляд
loc_talent_veteran_combat_ability_extra_charge_description,"Бойова здібність отримує {charges:%s} заряд, але і {ability_cooldown:%s} перезарядки."
loc_talent_veteran_combat_ability_increase_and_restore_toughness_to_coherency,Честь і обов’язок
loc_talent_veteran_combat_ability_increase_and_restore_toughness_to_coherency_description,{talent_name:%s} тепер також надає Ветерану та союзникам у єдності {toughness:%s} щитів на {duration:%s}с. Цей бонус може перевищувати максимальну кількість щитів.
loc_talent_veteran_combat_ability_ogryn_outlines_damage_description,"{talent_name:%s} тепер підсвічує всіх ворогів-оґринів, капітанів і потвор, а його тривалість збільшено до {duration:%s}с."
loc_talent_veteran_combat_ability_ranged_enemies_outlines,Вогонь у відповідь
loc_talent_veteran_combat_ability_ranged_enemies_outlines_description,{talent_name:%s} тепер підсвічує всіх  ворогів розміру людини із дальньої зброї.
loc_talent_veteran_combat_ability_revives,Лише смерть звільнить від обов’язку
loc_talent_veteran_combat_ability_revives_description,"{talent_name:%s} підіймає союзників, які були повалені, у межах радіуса, але зменшує цей радіус на {range%s} і збільшує перезарядку здібності на {ability_cooldown:%s}."
loc_talent_veteran_combat_ability_stagger_nearby_enemies,Голос наказу
loc_talent_veteran_combat_ability_stagger_nearby_enemies_description,"Відновлення  щитів і збиття з рівноваги всіх ворогів у радіусі {range:%s}м
Базова перезарядка: {cooldown:%s}с."
loc_talent_veteran_damage_coherency,Бойовий розрахунок
loc_talent_veteran_damage_coherency_desc,{damage:%s} до шкоди для Ветерана та союзників у єдності.
loc_talent_veteran_elite_kills_grant_ammo_coop_improved,Виживальник
loc_talent_veteran_elite_kills_grant_ammo_coop_improved_cd_desc,"Відновлення {ammo_2:%s} набоїв для Ветерана та союзників у єдності щоразу, коли хтось із вас убиває еліту чи спеціаліста. Може спрацьовувати лише раз на {cooldown:%s}с.
Це посилена версія таланту Стерв’ятник."
loc_talent_veteran_elite_kills_reduce_cooldown,Тактична обізнаність
loc_talent_veteran_elite_kills_reduce_cooldown_alt_desc,{regen:%s} відновлення перезарядки протягом {time:%s}с після вбивства спеціального ворога.
loc_talent_veteran_extra_grenade,Підривник
loc_talent_veteran_extra_grenade_and_throw_chance_description,Можеш нести {ammo:%s} додаткових гранат(и). {chance:%s} шанс кинути ще одну гранату (споживається лише одна).
