key,value
loc_broker_female_a__ability_01_a_01,Пали навмання!
loc_broker_female_a__ability_01_a_02,Я принесла свинцю — вистачить на всіх!
loc_broker_female_a__ability_01_a_03,Зараз буде гаряче!
loc_broker_female_a__ability_01_a_04,Час влаштувати змагання зі стрільби!
loc_broker_female_a__ability_01_a_05,"Ну що, гниляки, тягніть залізо!"
loc_broker_female_a__ability_01_a_06,[Сміх] Як барашків у полі!
loc_broker_female_a__ability_01_a_07,Відкриваю вогонь!
loc_broker_female_a__ability_01_a_08,Подивимось як вони танцюють!
loc_broker_female_a__ability_02_a_01,Час лізти в гущу!
loc_broker_female_a__ability_02_a_02,Хто хоче на горіхи?
loc_broker_female_a__ability_02_a_03,Час відплати!
loc_broker_female_a__ability_02_a_04,Мені це сподобається!
loc_broker_female_a__ability_02_a_05,Так! Погнали!
loc_broker_female_a__ability_02_a_06,"Гей, гниляки! Ну давайте, підходьте!"
loc_broker_female_a__ability_02_a_07,Час вам здохнути!
loc_broker_female_a__ability_02_a_08,Гаразд! Хто перший?
loc_broker_female_a__ability_03_a_01,Колимо стимм!
loc_broker_female_a__ability_03_a_02,Хапайте стимми!
loc_broker_female_a__ability_03_a_03,Стимми — всім!
loc_broker_female_a__ability_03_a_04,Час перевернути гру!
loc_broker_female_a__ability_03_a_05,Час отримати перевагу!
loc_broker_female_a__ability_03_a_06,Час стимму!
loc_broker_female_a__ability_03_a_07,Стимми для всіх!
loc_broker_female_a__ability_03_a_08,Стимми! Тільки найкращі!
loc_broker_female_a__alerted_2_enemy_daemonhost_01,Клята халепа! От тепер догралися!
loc_broker_female_a__alerted_2_enemy_daemonhost_02,"О, прекрасно! Саме те, що треба!"
loc_broker_female_a__alerted_enemy_daemonhost_01,Назад!
loc_broker_female_a__alerted_enemy_daemonhost_02,Не чіпайте!
loc_broker_female_a__alerted_enemy_daemonhost_03,"Нам що, мало проблем?"
loc_broker_female_a__alerted_enemy_daemonhost_04,Нехай спить!
loc_broker_female_a__almost_there_01,Майже прийшли!
loc_broker_female_a__almost_there_02,"Давайте, давайте! Чого копаєтесь?"
loc_broker_female_a__almost_there_03,"Піднажміть, га? Я вже пити хочу."
loc_broker_female_a__almost_there_04,Ви завжди все так повільно робите?
loc_broker_female_a__almost_there_05,"Майже закінчили, братва!"
loc_broker_female_a__asset_unnatural_dark_a_01,"Темнувато тут, га?"
loc_broker_female_a__asset_unnatural_dark_a_02,Світло вирубило. Тільки не наступіть на мене.
loc_broker_female_a__asset_unnatural_dark_b_01,Світло й так ніколи не любила.
loc_broker_female_a__asset_unnatural_dark_b_02,"Ніби мені треба бачити, куди йду."
loc_broker_female_a__away_from_squad_01,"Здається, звернула не туди..."
loc_broker_female_a__away_from_squad_02,Чому я сама?
loc_broker_female_a__away_from_squad_03,Самій ходити — дурна ідея.
loc_broker_female_a__away_from_squad_04,Мені тут самій бути не годиться...
loc_broker_female_a__away_from_squad_05,Ех... Краще повернуся до банди.
loc_broker_female_a__blitz_01_a_01,Пітарда!
loc_broker_female_a__blitz_01_a_02,Пітарда!
loc_broker_female_a__blitz_01_a_03,Жбурляю пітарду!
loc_broker_female_a__blitz_01_a_04,Додамо веселощів!
loc_broker_female_a__blitz_01_a_05,Пітарда пішла!
loc_broker_female_a__blitz_01_a_06,Ловіть пітарду!
loc_broker_female_a__blitz_01_a_07,Кидаю хлопушку!
loc_broker_female_a__blitz_01_a_08,Хлопушка пішла!
loc_broker_female_a__blitz_02_a_01,Отримуйте прям у пику!
loc_broker_female_a__blitz_02_a_02,У мене для вас подаруночок!
loc_broker_female_a__blitz_02_a_03,Півіз вам Бабах-Сіті!
loc_broker_female_a__blitz_02_a_04,Вмикаю музику!
loc_broker_female_a__blitz_02_a_05,Тук-тук!
loc_broker_female_a__blitz_02_a_06,"Час для великого ""Привіт""!"
loc_broker_female_a__blitz_02_a_07,Відкривайте поширше!
loc_broker_female_a__blitz_02_a_08,ПРЯМО. У. ПИКУ!
loc_broker_female_a__blitz_03_a_01,Хімбомба!
loc_broker_female_a__blitz_03_a_02,Хавай оце!
