key,value
loc_abhuman_event_name,Пробуджені велетні
loc_ability_flash_grenade_description,"Кинути осліплювальну гранату, що збиває з рівноваги всіх ворогів у радіусі вибуху."
loc_achievement_broker_anarchist_aura_alt_description,"Завдати {target} критичних ударів під дією аури «Анархіста». Критичні удари, завдані союзниками в єдності, також зараховуються."
loc_achievement_broker_anarchist_aura_name,Стрілець
loc_achievement_broker_anarchist_keystone_b_description,Утримувати повні стаки «Хімозної залежності» протягом {target} с.
loc_achievement_broker_anarchist_keystone_b_name,Алхімік
loc_achievement_broker_attacks_dodged_in_focus_mode_description,"Ухилитися від {target} атак, доки активний «Шибайголова»."
loc_achievement_broker_attacks_dodged_in_focus_mode_name,Верткий
loc_achievement_broker_buff_allies_chem_field_description,Посилити союзників на {target} секунд ефектом «Постачанням Стимів».
loc_achievement_broker_buff_allies_chem_field_name,Спільні вигоди
loc_achievement_broker_enemies_affected_by_chem_bomb_2_name,"На-ка, тримай!"
loc_achievement_broker_enemies_affected_by_chem_bomb_description,Уразити {target} унікальних ворогів «Хімгранатою».
loc_achievement_broker_enemies_hit_by_flash_grenade_2_name,Зіграти в хлопушку
loc_achievement_broker_enemies_hit_by_flash_grenade_description,Збити з рівноваги {enemy_count} ворогів {target} разів за допомогою «Хлопушки».
loc_achievement_broker_enemies_killed_by_missile_launcher_2_name,Принесений бабах
loc_achievement_broker_enemies_killed_by_missile_launcher_description,Убити {target} еліт/спеціалістів/потвор за допомогою «Бабахоносця».
loc_achievement_broker_gunslinger_aura_description,"Поділитися {target} кількістю набоїв за допомогою аури «Швидкостріла». Набої, якими діляться союзники в єдності, також зараховуються."
loc_achievement_broker_gunslinger_aura_name,Щедрий
loc_achievement_broker_gunslinger_keystone_b_description,Отримати {target} стаків «Мітки стерв’ятника».
loc_achievement_broker_gunslinger_keystone_b_name,Удар чижака
loc_achievement_broker_ruffian_aura_description,"Убити {target} ворогів у ближньому бою під дією аури «Гультяя». Убивства, здійснені союзниками в єдності, також зараховуються."
loc_achievement_broker_ruffian_aura_name,Бійцюга
loc_achievement_broker_ruffian_keystone_b_description,Активувати «Адреналіновий шал» {target} разів.
loc_achievement_broker_ruffian_keystone_b_name,Бойове зосередження
loc_achievement_broker_stay_in_punk_rage_description,Провести {target} секунд з активною «Лютівнею!».
