key,value
loc_abhuman_explosions_condition,Завершити місії «Громили та Вибухи».
loc_abhuman_explosions_description,Зрадники випустили орди напівлюдей рекрутів разом із повним арсеналом вибухових боєприпасів.
loc_abhuman_explosions_description_lore,"Остання атака зрадників загрожує похитнути саму основу Вулика, якщо негайно не спуститись туди і не зупинити їх. Агенти Вирмвуда доповідають про безпрецедентні руйнування: орди оґринів-рекрутів, потужні вибухи та численні появи велетенських чудовиськ."
loc_abhuman_explosions_event_context,Десантуватись в позначені райони і відбити цю атаку.
loc_abhuman_explosions_name,Гуркітливі велетні
loc_ability_fire_grenade,Вогняна граната
loc_ability_frag_grenade,Осколкова граната
loc_ability_frag_grenade_description,"Осколкова граната, що вибухає через короткий проміжок часу після активації запалу."
loc_ability_krak_grenade,Крак граната
loc_ability_krak_grenade_description,"Кидок кумулятивної гранати, яка прилипає до ворога і завдає руйнівної шкоди."
loc_ability_ogryn_charge,Шалений прорив
loc_ability_ogryn_charge_description,"Ривок уперед, що відкидає ворогів і дає {attack_speed:%d} швидкості атаки та {move_speed:%d} швидкості руху на {duration:%d}с."
loc_ability_ogryn_charge_description_new,"Потужний ривок уперед, що відкидає ворогів і збиває їх із рівноваги. Додатково дає {attack_speed:%s} швидкості атаки та {move_speed:%s} швидкості руху на {duration:%s}с. Ривок зупиняється при зіткненні з ворогами у карапасній броні, непохитними ворогами та потворами.\n\nбазове відновлення: {cooldown:%s}с."
loc_ability_ogryn_friend_rock,Великий камінчик дружби
loc_ability_ogryn_friend_rock_desc,"Кидок величезної каменюки або шматка брухту в одного ворога. Менш ефективний проти панцерної броні та непохитних ворогів. Новий валун підбирається кожні {recharge:%s}с, можна тримати до {max_charges:%s} каменюк одночасно. Потрапляння в спеціаліста убиває його незалежно від його здоров'я."
loc_ability_ogryn_grenade_box,Велика коробка болю
loc_ability_ogryn_grenade_box_description,"Кидок коробки гранат із великою силою і повною ентузіазму, що завдає масивної шкоди одному ворогу."
loc_ability_ogryn_grenade_demolition,Осколкова бомба
loc_ability_ogryn_grenade_demolition_desc,"Кидок осколкової гранати розміру вартої Оґрина (єдиний правильний розмір!) З радіусом вибуху {radius:%s}м, що завдає збільшеної шкоди в епіцентрі."
loc_ability_ogryn_objective_1,Збивання з рівноваги дрібних ворогів
loc_ability_ogryn_objective_2,Збивання з рівноваги великого ворога
loc_ability_ogryn_taunt_shout,Вірний захисник
loc_ability_ogryn_taunt_shout_desc,"Насмішка над ворогами в радіусі {radius:%s}м, змушуючи їх атакувати лише тебе протягом {duration:%s}с.\n\nбазове відновлення: {cooldown:%s}с"
loc_ability_psyker_objective_1,Отримати 50% перегріву
loc_ability_psyker_objective_2,Зняти перегрів бойовою здібністю
loc_ability_psyker_objective_3,Збити з рівноваги ворогів
loc_ability_psyker_overcharge_movement_speed,Варп-швидкість
loc_ability_psyker_overcharge_movement_speed_description,"Тепер поки {talent_name:%s} активний, збільшується швидкість руху на {movement_speed:%s}, ."
loc_ability_psyker_overcharge_reduced_toughness_damage_taken,Витривалість
loc_ability_psyker_overcharge_reduced_toughness_damage_taken_description,"Тепер поки {talent_name:%s} активний, отримується {tdr:%s} зменшення шкоди по щитам"
loc_ability_psyker_overcharge_reduced_warp_charge,Якір реальності
loc_ability_psyker_overcharge_reduced_warp_charge_description,"Тепер поки {talent_name:%s} активний, також зменшується генерація перегріву, на {warp_charge:%s}."
loc_ability_psyker_overcharge_weakspot,Прозорливість
loc_ability_psyker_overcharge_weakspot_description,"Убивства в слабке місце рахуються як {second:%s}с, проведені в {talent_name:%s}.\n\nза кожну секунду, проведену в {talent_name:%s}, також збільшується {finesse_damage_per_stack:%s} шкоди вправності (макс. {max_finesse_damage%s}), що зберігається протягом {duration:%s}с після виходу з {talent_name:%s}."
loc_ability_psyker_smite,Вибух мозку
loc_ability_psyker_smite_description,"Зарядити здібність, щоб завдати великої шкоди одній цілі."
loc_ability_psyker_smite_description_new,"Накопичує Псайкерську силу та вивільняє її, завдавши великої шкоди одному ворогу. Ефективно проти флак та панцерної броні."
loc_ability_shock_grenade,Світлошумова граната
loc_ability_shock_grenade_description,"Кидок світлошумової гранати, що б’є струмом і приголомшує всіх ворогів у радіусі вибуху."
loc_ability_smoke_grenade,Димова граната
loc_ability_smoke_grenade_description,"Кидок гранати, що створює димову хмару, яка тримається {duration:%s}с. Хмара блокує лінію зору для більшості ворогів і зменшує дальність огляду ворогів усередині неї."
loc_ability_specialization_biomancy,Псайкінетик
loc_ability_specialization_biomancy_description,"Твоя майстерність психокінетикою дозволяє маніпулювати фундаментальними силами руху силою розуму, підсилюючи союзників і водночас послаблюючи ворогів (і на додачу підриваючи пару-трійку головешок)."
loc_ability_specialization_biomancy_description_short,"Далекобійний, крихкий, підживлюється перегрівом"
loc_ability_veteran_base_ability,Прицільний вогонь!
loc_ability_veteran_base_ability_desc,"Увійти в стійку стільця на {duration:%s}с. У стійці стільця ти миттєво озброюєшся Стрілецькою зброєю, завдаєш {damage:%s} дальнобійної шкоди та {weakspot_damage:%s} дальнобійної шкоди по слабких місцях. Твій розкид і віддача також значно знижуються.\n\nбазове відновлення: {cooldown:%s}с."
loc_ability_zealot_objective_1,Ривок
loc_ability_zealot_objective_2,Завдати критичного удару
loc_ability_zealot_pious_stabguy_tier_3_ability_2,Самотній вовк
loc_ability_zealot_pious_stabguy_tier_3_ability_2_description,"Рахується так, ніби перебуваєш у єдності з трьома іншими."
loc_ability_zealot_pious_stabguy_tier_3_ability_3,Майстер засідок
loc_ability_zealot_pious_stabguy_tier_3_ability_3_description,Вихід із єдності з союзниками скидає відновлення маскування. Може спрацьовувати лише раз на x секунд.
loc_ability_zealot_stealth,Поле покрову
loc_ability_zealot_stealth_description,"Увійти в невидимість на {duration:%s}с. Під час невидимості отримується додаткові {movement_speed:%s} швидкість руху, {backstab_damage:%s} шкода від ударів у спину, {finesse_damage:%s} шкода вправності та {crit_chance:%s} шанс критичного удару.\n\nбазове відновлення: {cooldown:%s}с"
loc_ability_zealot_throwing_knifes,Клинки віри
loc_ability_zealot_throwing_knifes_desc,"Кидок освяченого ножа, щоб завдати великої шкоди одному ворогу. Дуже ефективний проти більшості ворогів; менш ефективний проти панцерної броні.\n\n- швидкий кидок\n- убивство елітних і особливих ворогів у ближньому бою відновлює 1 ніж\n- ящики з набоями поповнюють ножі"
loc_accept_mission_voting_title_accept_button,Увійти
loc_accept_mission_voting_title_decline_button,Покинути чергу
loc_accept_mission_voting_title_description,"Підбір гравців завершено, і по готовності можна почати місію."
loc_accept_mission_voting_title_header,Місія готова
loc_accolade_sub_title_tag_level,Рівень
loc_accolade_title_player_of_the_game,Гравець матчу
loc_accolade_title_player_of_the_game_new,{new:%s} гравець матчу
loc_accolade_title_tag_new,Нове!
loc_account_profile_account_rank,Ранг облікового запису {account_rank:%d}
loc_account_profile_all_commendations,Усі відзнаки
loc_account_profile_commendations,Відзнаки близькі до завершення
loc_account_profile_current_contact,Поточний контакт
loc_account_profile_next_reward,Наступна нагорода
loc_account_profile_win_tracks_view_display_name,Дорога до спокути
loc_achievement_ability_time_saved_using_yellow_stimm_description,"Скоротити відновлення своїх Здібностей на {target} секунд, використовуючи стимулятор Концентрації."
loc_achievement_ability_time_saved_using_yellow_stimm_name,Немає часу чекати
loc_achievement_adamant_block_enemies,Закононепокірний
loc_achievement_adamant_block_enemies_desc,Заблокувати шкоду від {amount:%s} унікальних ворогів.
loc_achievement_adamant_enemies_affected_by_buff_drone_description,"Накласти дебаф на {target} ворогів, використовуючи Нунціо Аквіла."
loc_achievement_adamant_enemies_affected_by_buff_drone_name,Протоколи пригнічення
loc_achievement_adamant_hunt_snipers,Прицільні вбивства
loc_achievement_adamant_hunt_snipers_desc,"Нацькувати кібер-мастифа стрибнути на {amount:%s} бомберів, Снайперів і ловців."
loc_achievement_adamant_kill_cluster_with_grenade,Ефективний підрив
loc_achievement_adamant_kill_during_stance,Санкція Редактус
loc_achievement_adamant_kill_during_stance_desc,Убити {amount:%s} ворогів під час «Постави Карателя».
loc_achievement_adamant_kill_electrocuted,Шокове переслідування
loc_achievement_adamant_kill_electrocuted_desc,Убити {amount:%s} уражених електрикою ворогів.
loc_achievement_adamant_kill_marked_enemies,Правосуддя здійснено 
loc_achievement_adamant_kill_marked_enemies_desc,"На рівні загрози «Єресь» або вище убити {amount:%s} ворогів, позначених «Наказом на страту»."
loc_achievement_adamant_kill_pounced_enemies,"Стріляй у них, коли вони лежать"
loc_achievement_adamant_kill_pounced_enemies_desc,"Убити {amount:%s} ворогів, на яких стрибнув кібер-мастиф."
loc_achievement_adamant_kill_with_melee,Арешт карателя
loc_achievement_adamant_kill_with_melee_desc,"На рівні загрози «Єресь» або вище убити {amount:%s} ворогів у ближньому Бою, використовуючи «Ордер на знищення»."
loc_achievement_adamant_kill_with_ranged,Арбітр-Стрілець
loc_achievement_adamant_kill_with_ranged_desc,"На рівні загрози «Єресь» або вище убити {amount:%s} ворогів дальними атаками, використовуючи «Ордер на знищення»."
loc_achievement_adamant_knock_chargers,Команда охорони
loc_achievement_adamant_knock_chargers_desc,Нацькувати кібер-мастифа відштовхнути {amount:%s} Мутантів і Чумовибухачів. Зараховується один раз на ворога.
loc_achievement_adamant_pet_dog,Хороша вбивча машина
loc_achievement_adamant_pet_dog_desc,Погладити кібер-мастифа.
loc_achievement_adamant_saved_from_dog,Відданий супутник
loc_achievement_adamant_saved_from_dog_desc,"Бути врятованим від Чумного Пса, що стрибнув на тебе, кібер-мастифом."
loc_achievement_adamant_stagger_elites_with_bash,Вуличний боєць
loc_achievement_adamant_stagger_elites_with_bash_desc,"Збити з рівноваги {amount:%s} елітних або спеціалістів, використовуючи «Прорвати Лінію»."
loc_achievement_adamant_stagger_monster_detonation,Поторні протоколи
loc_achievement_adamant_stagger_monster_detonation_desc,"Збити з рівноваги Потвору, використовуючи «Дистанційний підрив», {amount:%s} разів."
loc_achievement_adamant_team_companion_in_coherency_kills_description,"З активною аурою «Частина загону» вбити {target} ворогів, перебуваючи в єдності зі своїм кібер-мастифом. Убивства союзників, які також перебувають у єдності з твоїм кібер-мастифом, також зараховуються."
loc_achievement_adamant_team_companion_in_coherency_kills_name,Добре злагоджений вбивчий загін
loc_achievement_adamant_team_staggered_enemies_aura_kills_description,"Убити {target} ворогів, збитих з рівноваги, перебуваючи під дією аури «Придушення непокори». Убивства, здійснені союзниками в когерентності з тобою, також зараховуються."
loc_achievement_adamant_team_staggered_enemies_aura_kills_name,Винесення Суду Імператора
loc_achievement_adamant_team_wield_speed_aura_kills_description,"Убити {target} ворогів під дією аури «Нещадна ефективність». Убивства, здійснені союзниками в Єдності, також зараховуються."
loc_achievement_adamant_team_wield_speed_aura_kills_name,Ефективна страта
loc_achievement_adamant_time_allies_buffed_by_buff_drone_description,Підсилити союзників за допомогою Нунціо Аквіла загальною тривалістю {target} секунд.
loc_achievement_adamant_time_allies_buffed_by_buff_drone_name,Зміцнююча команда
loc_achievement_adamant_time_enemies_electrocuted_by_shockmine_name,Шокуюча сковуюча система
loc_achievement_adamant_time_in_forceful,Уся Міць Закону
loc_achievement_adamant_time_in_forceful_desc,На рівні загрози «Єресь» або вище проведи {time:%s} с із активним «Непохитна сила».
loc_achievement_all_chaos_elites_killed_description,Убити {target} елітних жахів.
loc_achievement_all_chaos_elites_killed_name,Протокол очищення
loc_achievement_all_chaos_killed_description,Убити кожен тип жахів.
loc_achievement_all_chaos_killed_name,Вигнання
loc_achievement_all_chaos_specials_killed_description,Убити {target} кожен тип жахів-спеціалістів.
loc_achievement_all_chaos_specials_killed_name,Нічний патруль
loc_achievement_all_cultist_elites_killed_description,Убити {target} кожен тип елітного Дреґа.
loc_achievement_all_cultist_elites_killed_name,Пильний закон
loc_achievement_all_cultist_specials_killed_description,Убити {target} кожен тип Дреґа-спеціаліста.
loc_achievement_all_cultist_specials_killed_name,Тріумф закону
loc_achievement_all_cultists_killed_description,Убити кожен тип Дреґа.
loc_achievement_all_cultists_killed_name,Винищувач Дреґів
loc_achievement_all_renegade_elites_killed_description,Убити {target} кожен тип елітного Скаба.
loc_achievement_all_renegade_elites_killed_name,Елітарій
loc_achievement_all_renegade_specials_killed_description,Убити {target} кожен тип Скаба-спеціаліста.
loc_achievement_all_renegade_specials_killed_name,Господар відступників
loc_achievement_all_renegades_killed_description,Убити кожен тип Скаба.
loc_achievement_all_renegades_killed_name,Зрадницький осередок
loc_achievement_amount_of_chests_opened_description,"Відкрити {target} скринь. Скрині, відкриті союзниками, також зараховуються."
loc_achievement_amount_of_chests_opened_name,Мародер
loc_achievement_amount_of_x_description,Убийте {target} {breed}
loc_achievement_amount_of_x_name,Звіринець: {breed} ({tier})
loc_achievement_assists_1_name,Вставай і бийся! (1)
loc_achievement_assists_2_name,Вставай і бийся! (2)
loc_achievement_assists_3_name,Вставай і бийся! (3)
loc_achievement_assists_4_name,Вставай і бийся! (4)
loc_achievement_assists_5_name,Вставай і бийся! (5)
loc_achievement_assists_x_description,Підняти {target} повалених оперативників.
loc_achievement_banish_daemonhost_description,Вигнати демононосій.
loc_achievement_banish_daemonhost_name,Вигнанець
loc_achievement_basic_training_description,Завершити базове тренування.
loc_achievement_basic_training_name,Заклик до зброї
loc_achievement_boss_fast_1_name,Час помирати (1)
loc_achievement_boss_fast_2_name,Час помирати (2)
loc_achievement_boss_fast_3_name,Час помирати (3)
loc_achievement_boss_fast_x_description,Убити потвору за {target}с або менше.
loc_achievement_bulwark_backstab_damage_inflicted_description,Завдати {target} шкоди Оґринам-щитоносцям ударом у спину.
loc_achievement_bulwark_backstab_damage_inflicted_name,Ніхто тебе не очікував
loc_achievement_category_account_label,Обліковий запис
loc_achievement_category_class_challenges_label,Видалено
loc_achievement_category_classes_label,Клас
loc_achievement_category_defensive_label,Оборонний
loc_achievement_category_endeavours_label,Завдання
loc_achievement_category_enemies_label,Єретики
loc_achievement_category_exploration_label,Дослідження
loc_achievement_category_heretics_label,Єретичний
loc_achievement_category_missions_label,Місії
loc_achievement_category_offensive_label,Наступальний
loc_achievement_category_ogryn_2_label,Оґрин
loc_achievement_category_psyker_2_label,Псайкер
loc_achievement_category_tactical_label,Тактичний
loc_achievement_category_teamplay_label,Команда
loc_achievement_category_veteran_2_label,Ветеран
loc_achievement_category_weapons_label,Зброя
loc_achievement_category_zealot_2_label,Бузувір
loc_achievement_class_meta_description,Завершити {target} із наступних спокут.
loc_achievement_class_meta_name,{class_name} господар війни
loc_achievement_coherency_toughness_description,Відновлення {target} щитів з єдності.
loc_achievement_coherency_toughness_name,Напарник
loc_achievement_complete_missions_difficulty_1_description,Виконати місії {target} на загрозі «Заколот» або вище.
loc_achievement_complete_missions_difficulty_2_description,Виконати місії {target} на загрозі «Повстання» або вище.
loc_achievement_complete_missions_difficulty_3_description,Виконати місії {target} на загрозі «Злоба» або вище.
