key,value
loc_ogryn_a__ability_bonebreaker_01,Іду на пролом!
loc_ogryn_a__ability_bonebreaker_02,Поламаю тебе!
loc_ogryn_a__ability_bonebreaker_03,Я тебе розтопчу!
loc_ogryn_a__ability_bonebreaker_04,Ось і я!
loc_ogryn_a__ability_bonebreaker_05,Мене не спинити!
loc_ogryn_a__ability_bonebreaker_06,Пробиваю шлях!
loc_ogryn_a__ability_bonebreaker_07,Я найсильніший!
loc_ogryn_a__ability_bonebreaker_08,Мене не спинити!
loc_ogryn_a__ability_bonebreaker_09,Геть з дороги!
loc_ogryn_a__ability_bonebreaker_10,Прориваюся!
loc_ogryn_a__ability_bonebreaker_11,Розтопчу як комашок!
loc_ogryn_a__ability_bonebreaker_12,[Рик]
loc_ogryn_a__ability_bonebreaker_13,[Рик]
loc_ogryn_a__ability_bonebreaker_14,[Сміх]
loc_ogryn_a__ability_bonebreaker_15,[Сміх]
loc_ogryn_a__ability_bullgryn_01,"Це все, що в тебе є?"
loc_ogryn_a__ability_bullgryn_02,Ну давай!
loc_ogryn_a__ability_bullgryn_03,Стукни мене!
loc_ogryn_a__ability_bullgryn_04,"Ти б'єш, як шмаркач!"
loc_ogryn_a__ability_bullgryn_05,Слабаки! Ха!
loc_ogryn_a__ability_bullgryn_06,Дай мені справжній бій!
loc_ogryn_a__ability_bullgryn_07,Покажіть на що ви здатні!
loc_ogryn_a__ability_bullgryn_08,Занадто крутий для тебе!
loc_ogryn_a__ability_bullgryn_09,Я тут! Стукни мене!
loc_ogryn_a__ability_bullgryn_10,Ховайтесь за мною!
loc_ogryn_a__ability_bullgryn_11,"За мною, малютки!"
loc_ogryn_a__ability_bullgryn_12,[Рик]
loc_ogryn_a__ability_bullgryn_13,[Рик]
loc_ogryn_a__ability_bullgryn_14,[Сміх]
loc_ogryn_a__ability_bullgryn_15,[Сміх]
loc_ogryn_a__ability_gun_lugger_01,Вогневе Прикриття! 
loc_ogryn_a__ability_gun_lugger_02,Пригнутись!
loc_ogryn_a__ability_gun_lugger_03,Розриваю їх на шматки!
loc_ogryn_a__ability_gun_lugger_04,Зараз порву всіх на частини!
loc_ogryn_a__ability_gun_lugger_05,Хто хоче свинцю?
loc_ogryn_a__ability_gun_lugger_06,"Скуштуйте це, потвори!"
loc_ogryn_a__ability_gun_lugger_07,Вистачить на всіх!
loc_ogryn_a__ability_gun_lugger_08,Час жерти!
loc_ogryn_a__ability_gun_lugger_09,"Це та частина, що мені подобається!"
loc_ogryn_a__ability_gun_lugger_10,Маю для вас усіх подаруночки!
loc_ogryn_a__ability_gun_lugger_11,У мене для тебе дещо є!
loc_ogryn_a__ability_gun_lugger_12,[Рик]
loc_ogryn_a__ability_gun_lugger_13,[Рик]
loc_ogryn_a__ability_gun_lugger_14,[Сміх]
loc_ogryn_a__ability_gun_lugger_15,[Сміх]
loc_ogryn_a__adamant_female_a_ogryn_bonding_conversation_01_b_01,"Дякую, Бляхопико. Я пишаюся."
